id,pis,start,end,amount,agency,relationship,id,title,abstract,start-year,end-year
11p,Joel Michaelsen Lisa Stratton,7/1/17,6/30/25,391250,California Department of Transportation,"California state, municipal agencies",C0232033,North Campus Open Space: Trailhead Interpretive Area and Amenities Project,The University of California Santa Barbara campus dedicates 340 of its 1000 acres to open space conservation and facilitates public access especially for educational purposes. The 136 acre North Campus Open Space Restoration Project is underway and is unearthing 40 acres of wetlands buried in the 1960s and restoring historic land forms and a diversity of native plant communities and wildlife habitat using only locally sourced native plant material. The project includes 2.5 miles of trails and four wetland crossings funded by CalTrans Alternative Transportation Program under contract now. The crucial need now is for an interpretive trailhead area with benches shade plantings and interpretive signage as well as trailside amenities such as benches and signage to enhance the educational value of the site for the diverse users of the area. An exhibit case that can support changing exhibits and a native ethno-botanical garden supported by downloadable audio pod-casts with Native American stories chants and songs will supplement traditional signage to keep the facility current and living. The project site forms a gateway to a larger coastal open space by connecting people via bus routes bike and walking paths student residences and community members from median income and disadvantaged neighborhoods. Funded primarily by grants with a long term management commitment by the university this project will provide valuable educational and experiential learning opportunities regarding Californias natural resources and the value of wetlands to the States future leaders and voters. UCSBs Cheadle Center for Biodiversity and Ecological Restoration is uniquely suited to implement the project and multiply its value into the future. ,2017,2025
12p,Thomas Dunne,11/15/07,11/30/17,286582,California Department of Water Resources,"California state, municipal agencies",460007708,San Joaquin River Restoration Program,"This project involves field and computational research to assist the California Department of Water Resources (DWR) in providing Chinook salmon habitat in Reach 1 of the San Joaquin River. Completion will involve both field data collection and computer modeling activities designed to answer the question: ""How will the form and bed conditions of the gravel bed reach of the San Joaquin River respond to an alteration of flow regime and to manipulation of the sediment within the reach and how will the changes affect the quality of habitat for Chinook salmon?"" The project has supported two PhD theses on gravel mobility and hyporheic flows in gravel bars and has installed a monitoring system to continue the study of gravel mobility in high flows of 2017 and future years. ",2007,2017
13p,Patricia Holden,1/1/15,11/30/19,1987869,California Department of Water Resources,"California state, municipal agencies",14-476-550,Microbial Source Tracking in the Santa Barbara Region,Coastal marine waters in human developments may be contaminated by fecal indicator bacteria whose presence signals fecal pollution that impinges on public health and coastal fisheries. New DNA-based technologies can assist in determining if fecal pollution is associated with human waste and thus human pathogens or if other animal hosts or natural sources explain. Further such technologies if applied in a watershed context within a qualified field study design can enable determining fecal sources e.g. failed civil infrastructure whose repair by owners can remedy the pollution and restore water quality. To date several beaches in the Santa Barbara area have been researched for fecal pollution since fecal indicator bacteria concentrations in coastal waters were chronically elevated. Three beaches in Santa Barbara remain a high priority as determined by the Clean Beach Initiative in CA: East Beach at Sycamore Leadbetter Beach and Goleta Beach. In this project the lower watersheds of each beach will be characterized for sources of fecal pollution including evaluating infrastructure location and age. Hypotheses will be developed regarding potential fecal sources that impinge on surf zone water quality. Hypotheses will be tested using state of the art approaches in microbial source tracking applied within a field sampling program for each beach. Results will be used to inform stakeholders i.e. water quality and infrastructure managers in the region regarding sources that can subsequently be remediated. This is a three year project that builds on expertise in the Holden Lab group previously demonstrated in various State of CA clean beach initiatives and in the Santa Barbara region. ,2015,2019
14p,Carla D'Antonio,8/16/11,3/31/15,600000,California Energy Commission,"California state, municipal agencies",20111150,Quantifying the Impacts of Interactions Between Fire Invasive Species and Hydrologic Cycles,We will examine on-going vegetation change in areas of high fire activity and subsequent changes to hydrologic cycles (e.g. timing and amounts of stream flow nutrients in run-off) caused by fire in specific watersheds of California where invasive species have come to dominate over portions of the watersheds or where type conversion is occurring. Our collaborators at UC Berkeley (Max Moritz and postdoc) will evaluate cover changes (trees to shrubs) and their consequences in Sierran watersheds while the UCSB group will focus on southern California coastal mountain ranges and eco-hydrological modeling. At UCSB we will use a combination of historic aerial photos GIS and fire occurrence records to evaluate factors contributing to watershed conversion in order to project areas vulnerable to future change. To study the consequences of land cover change we will select relatively fine-scale study areas to be compared stratified according to those that are dominated by native species and those that have largely been type converted into non-native invasive species. Local scale measurements of water infiltration vegetation evapotranspiration and soil surface conditions will be used to parameterize watershed scale models to predict changes in water yield and nitrate run-off relative to vegetation condition. Small scale measurements will be used to parameterize and test the ecosystem watershed model RhesSys to evaluate the potential for largescale changes in water yield due to land cover change. RhesSys models will be developed for both the Sierran watersheds and a southern California watershed. ,2011,2015
15p,Arturo Keller Sangwon Suh,6/16/14,8/31/15,109921,California EPA Toxic Substances Control Department of,"California state, municipal agencies",13-T3804,Chemical Life Cycle Database and Visualization Tool,Many consumer products contain chemicals that are known to be detrimental to human health and the environment. However due to the current lack of regulation chemical content disclosure and consumer awareness most manufacturers have little incentive to replace chemicals-of-concern (COCs) with safer alternatives. Assembly Bill 1879 requires DTSC to develop the Safer Consumer Products Regulations that establish a process to identify products that pose high risk to humans and the environment. Once identified the regulations require manufacturers to evaluate safer alternatives to COCs in those products by following an AA protocol and considering the impacts of the COCs and alternative formulations from life cycle (LC) perspective. By integrating LC thinking into the AA manufacturers can avoid shifting environmental burdens and making environmentally unfavorable substitutions. California State regulations permit DTSC to compile a list of 1200 candidate COCs. The list of candidate chemicals can be found at http://www.dtsc.ca.gov/SCP/ChemList.cfm. DTSC must identify consumer products containing COCs and compile guidance for AA. The regulations apply to any COC  containing product sold distributed supplied or manufactured for sale in California. In March of 2014 DTSC issued a list of 3 high-priority products of concern. DTSC is researching other specific product/chemical combinations of interest. The newly established Chemical Life Cycle Network (ChemLCNet) project at the Bren School UCSB will be developing a toolkit to assist manufacturers governments and researchers to determine the life cycle environmental implications of existing and new chemicals. The toolkit will be instantiated as an open-access interactive web-based tool that implements a parametric life cycle assessment (LCA) model of chemicals production use and end of life. ,2014,2015
16p,Arturo Keller Roland Geyer,4/23/15,6/30/16,93500,California EPA Toxic Substances Control Department of,"California state, municipal agencies",14-T3952,Pilot Study on Alternatives Assessment,Many consumer products contain chemicals that are known to be detrimental to human health and the environment. However due to the current lack of regulation chemical content disclosure and consumer awareness most manufacturers have little incentive to replace chemicals-of-concern (COCs) with safer alternatives. Assembly Bill 1879 requires DTSC to develop the Safer Consumer Products Regulations that establish a process to identify products that pose high risk to humans and the environment. Once identified the regulations require manufacturers to evaluate safer alternatives to COCs in those products by following an AA protocol and considering the impacts of the COCs and alternative formulations from life cycle (LC) perspective. By integrating LC thinking into the AA manufacturers can avoid shifting environmental burdens and making environmentally unfavorable substitutions. ,2015,2016
17p,Joan Florsheim Edward Keller,3/6/14,6/30/15,100000,California EPA Water Control Board,"California state, municipal agencies",13-068-120,San Gregorio Creek Watershed Sediment Budget,The objective of this project is to quantify changes in sediment delivery and storage processes in the San Gregorio Creek watershed San Mateo County CA over the historical period. We will map erosional and depositional landforms from recent aerial LiDAR images and historical aerial photographs into a GIS and conduct field measurements and other analyses. Specific questions to address through development of a rapid sediment budget (Reid and Dunne 1996) for various time periods include: 1) what are the significant active geomorphic processes (e.g. gullies slides incision) that deliver sediment to channels? 2) how do current and/or historical landuse activities influence sediment delivery rates relative to pre-disturbance natural background rates? 3) have landuse activities caused significant changes in channel sediment storage and sediment supply in alluvial channel reaches and or significant changes in the rate of sediment supply to the lagoon? 4) what are the relationships between grain size distributions in channels and bed mobility pool filling and sediment supply rate? Addressing these questions will increase our knowledge about the effects of anthropogenic and climate disturbances on geomorphic processes at the scale of a small coastal California watershed. ,2014,2015
18p,Joel Michaelsen Lisa Stratton,5/1/15,12/31/18,1000000,California Natural Resources Agency,"California state, municipal agencies",U59316-0,North Campus Open Space Restoration,The North Campus Open Space Restoration Project will restore nearly 50 acres of coastal wetland and approximately 50 acres of upland habitat that will provide an important community green space to this densely populated area. The trails and boardwalks to be created will invite people to intimately experience a unique seasonally variable wetland ecosystem and provide connectivity between residential areas schools commercial areas and adjacent coastal open space. This project will restore the hydrologic function lost in 1965 when nearly 500000 cubic yards of soil were moved from adjacent uplands into a once functioning estuarine system. Opportunities to work on this scale in developed southern California cities are very limited and this project provides an unprecedented local opportunity in a region that has lost more than 80% of its coastal wetlands and has experienced a significant loss of public access to open space areas. By restoring a natural system this project will improve water quality increase flood capacity support wildlife and enhance regional adaptation to projected sea level rise by providing room for the migration of habitats. ,2015,2018
19p,Joel Michaelsen Lisa Stratton,5/1/17,1/1/21,350000,California Natural Resources Agency,"California state, municipal agencies",E13613-0,North Campus Open Space Coastal Habitat Enhancement Program,The North Campus Open Space (NCOS) Coastal Habitat Enhancement Project located in Santa Barbara County adjacent to the City of Goleta and within University of Californias campus is the third phase of a larger project to restore 136 acres of degraded coastal habitats through excavation of 350000 cubic yards of fill from a former golf course created in 1965 when soil from adjacent uplands were bulldozed into an estuary. The full NCOS project will provide hydrologic and tidal connectivity to Devereux Slough and its tidewater gobies by restoring the former upper arms of this estuary and the adjacent historic coastal terrace landform. More than 40 acres of wetland and 60 acres of upland and transitional habitat will be actively restored on the graded landforms and another 36 acres of habitat will be protected and enhanced through active invasive species control and enhancement planting. EEM funds are for the fourth phase of the larger North Campus Open Space project representing 20 acres of degraded habitat to be enhanced with weed control and selective planting adjacent to the re-created coastal terrace restoration area. ,2017,2021
20p,Joel Michaelsen Lisa Stratton,9/1/16,11/30/19,1000000,California Ocean Protection Council,"California state, municipal agencies",P01-1-07,North Campus Open Space Coastal Wetland Restoration,The North Campus Open Space Restoration Project is a project to restore 90 acres of degraded cut and fill areas including the former Ocean Meadows Golf Course to a matrix of estuarine palustrine transitional and upland habitats characteristic of the Devereux Slough ecosystem through excavation of fill from the former upper arms of Devereux slough. The property to be restored is located on UCSB campus adjacent to the main campus and immediately north of UCSBs Coal Oil Point Reserve. The project site encompasses the interface of four tributaries to the Devereux Slough and is south of the City of Goleta. The larger project will return the channelized Devereux Creek to an estuary and restore the 64 acre invasive plant-dominated former private golf course to wetland and upland habitat. It will provide stormwater capture and flood control benefits expanded rare species and migratory bird habitat and create 1.2 miles of trail connecting adjacent residential neighborhoods and the protected lands to the California Coastal Trail. This grant will fund a portion of the second phase of the project specifically restore 8 acres of wetland and transitional habitat along the western side of the restored estuary. ,2016,2019
21p,Joel Michaelsen Lisa Stratton,7/27/16,6/30/20,3820000,California Wildlife Conservation Board,"California state, municipal agencies",WC-1589DC,Upper Devereux Slough Restoration,The Wildlife Conservation Board grant for the Upper Devereux Slough Restoration will support restoration of portions of the historic northern extent of the Devereux Slough primarily on the former Ocean Meadows golf course property and adjacent borrow site (South Parcel) that will expand slough wetland transitional and upland habitats (Project) on approximately 136 acres of land commonly known as the North Campus Open Space located in Santa Barbara County California. Project supports grading restoration and project management components of the project. ,2016,2020
22p,Christina Tague,11/15/18,3/31/22,609970,California Wildlife Conservation Board,"California state, municipal agencies",WC-1750BC,From Snow to Flow: Targeted Forest Management Strategies to Increase Streamflow For Ecosystems and People in the Tahoe-Truckee Basin,Snowmelt in mountain forests is critical for generating streamflow in much of the Sierra Nevada. The forest distribution and structure (i.e. height and density of the trees and their location and orientation) can have profound effects on the distribution of snow. In coordination with the 59000 acre interagency Lake Tahoe West Project (LTWP) led by the U.S. Forest Service we propose expanded scientific studies and modeling in the Tahoe-Truckee Basin that develop watershed-scale forest thinning strategies to enhance streamflow within a critical area for water and threatened species. The primary goal of this project is to develop actionable information for managers to retain snow on the landscape in ways that delay the stream hydrograph and improve the quantity and quality of summer low flows when aquatic ecosystems are most stressed. We will use three project objectives to meet this goal and achieve streamflow enhancement in numerous watersheds: 1) Determine optimum watershed-scale forest thinning strategies for the LTWP to enhance streamflow by retaining snow in key parts of the landscape 2) Provide baseline streamflow monitoring and develop tools to quantify the effects of forest treatments on streamflow and limiting factors for ecology across diverse watersheds 3) Develop 25- and 50-year forest management strategies in key watersheds to ensure streamflow enhancement gains under the combined effects of climate change drought and forest disturbance. ,2018,2022
23p,Leonel Romero J. Ohlmann,9/18/15,2/29/20,1692209,Centro De Investigacion Cientifica De Ensenada CICESE,"California state, municipal agencies",SB160037,Inner-Shelf Near-Surface Horizontal Dispersion,This proposal is part of the SENER-CONACYT/Hydrocarbons project to quantify horizontal dispersion over the inner shelf. This will be achieved with a series of field experiments in the Gulf of Mexico off the coast of Brownsville TX. The project performance is 4.5 years which is divided in three periods: Period 1 (9/11/2015  2/28/2017) Period 2 (3/1/2017  2/28/2019) and Period 3 (3/1/2019  2/28/2020). In the 1st Period UCSB will deliver a preliminary report of dispersion analysis and flow characteristics. In Period 2 UCSB will deliver a report with analysis of coastal dispersion with respect to background flow structures as well as wind and wave forcing conditions. In Period 3 UCSB will deliver the final report with scale dependent diffusivity analysis with respect to distance from the shore bathymetry and forcing including the characterization of background flow structures. The final deliverable will enable comparison with deep?water dispersion studies and modeling efforts to be carried out by other members of the SENER?CONACYT/Hydrocarbons project. ,2015,2020
24p,J. Ohlmann,9/1/15,8/31/16,102637,City of Los Angeles,"California state, municipal agencies",4500318931,Monitoring the Fate and Transport of the Diversion Effluent Plume from the Hyperion Treatment Plant (City of Los Angeles Bureau of Sanitation),An oceanographic study is being proposed to directly measure the horizontal advection and mixing of effluent plume waters as they move from the shallow outflow diffuser (hereafter shallow outflow) during the Fall 2015 diversion. At the shallow outflow discharge location fresh (i.e. buoyant compared with ambient ocean saltwater) plume waters are expected to quickly rise to the ocean surface (top few meters). Drifters drogued at 1meter depth provide a direct measure of transport pathways taken by surface water parcels. CTD measurements following drifter motion give a direct measure of effluent plume dilution as fresh plume waters mix with ambient saltwater. Primary goals of the proposed study are: 1. Make repeated direct measurements of effluent plume pathways from the diffuser location with water-following drifters. 2. Make repeated direct measurement of plume concentration (via salinity) following plume (drifter) motion. 3. Identify where (and if) plume waters (as tracked with drifters) reach the offshore edge of the surf zone and indicate corresponding plume concentration. 4. Provide an independent ocean current data set that can be used to evaluate numerical ocean circulation model performance. ,2015,2016
25p,Patricia Holden,9/9/14,1/31/15,24991,City of Santa Barbara,"California state, municipal agencies",21400222,Verification Monitoring in Santa Barbara,This research is to perform verification monitoring (VM) in Santa Barbara. In the SB region there are beaches for which microbial source tracking (MST) and fecal source remediation were previously performed. VM is needed to verify that human fecal contamination sources have been remedied and that other controllable sources such as domestic dogs and faulty septic systems are not causing ongoing surface water contamination. The overall and long-term goal is to improve microbiological water quality and public health at Santa Barbara beaches which are very popular recreational and tourism destinations. ,2014,2015
26p,Patricia Holden,11/8/16,1/31/18,29999,City of Santa Barbara,"California state, municipal agencies",21700093,Research in New Source Detection,In urban coastal zones where cities have variably aged sanitary sewer and municipal separate storm sewer systems (MS4s) untreated sewage can migrate from sanitary sewer defects through subsoil and into nearby storm drains.Such subsurface communication between these separate pipe systems threatens coastal water quality since storm drains discharge to creeks that flow to the ocean. There is some evidence that the proximity of leaking sanitary sewers to storm drains including where sanitary sewers cross over storm drains may influence sanitary sewer contamination to MS4s. We previously showed this by real time studies using rhodamine WT dye released into sanitary sewers and probing dye fluorescence continuously in a nearby storm drain coupled with sampling and analyzing for molecular evidence of human waste. In a separate study we showed that populating a pipe leakage algorithm with GIS-based sanitary sewer system information (i.e. pipe material diameter and depth)—for pipes with invert depths within 3 m of the shallow groundwater table—allowed for explaining wastewater contamination in shallow groundwater as originating from leaking nearby sewers. We have further shown that this approach can be predictive of groundwater contamination. The goal of this current research is to determine if a similar GIS-based modeling approach of sanitary sewer pipe exfiltration probabilities can be adapted for predicting where storm drains might be contaminated by human fecal material entering MS4s from nearby leaking sewers. Through modeling of municipal sanitary sewer and MS4 infrastructure this project identifies storm drains for field sampling. Up to twelve samples will be analyzed for fecal indicator bacteria DNA-based markers of human waste and potentially chemical markers. The broader goal of understanding which storm drains may be impacted by human fecal contamination would be addressed thus enabling the City to employ their management approaches to remedy contamination. The overall and long-term goal of this research is to improve microbiological water quality and public health at urban beaches. In conducting this research transferable knowledge and approaches are to be generated and disseminated via the published literature thus contributing to the general body of knowledge in environmental management of microbiological water quality. ,2016,2018
27p,Lisa Stratton,8/1/17,12/31/19,75000,Goleta West Sanitary District,"California state, municipal agencies",SB180076,North Campus Open Space (NCOS) Public Access Implementation Project,The goal of the NCOS Restoration Project is to restore the upper arms of Devereux Slough that were filled in 1965 to create Ocean Meadows Golf Course using fill soil from the adjacent uplands including South Parcel to the south west of the golf course. The restoration project includes restoring more than 135 acres of diverse habitats including a tidal connection to Devereux Slough intermittently flooded mudflats plover breeding habitat salt marsh and a variety of upland and freshwater habitats including vernal pools freshwater marsh native grassland coastal sage scrub and back dune swale woodland habitat. The project also includes excavation and placement of approximately 350000 cubic yards of fill on the former borrow site on South Parcel which is within the NCOS project area. The project includes a trail system with bridges and boardwalks that supports safe routes to school and a diversity of users with a variety of trail sizes and functions. The trail design was developed through a community based planning process in 2013-14 that included 4 public meetings and an opportunity to vote on alternatives in person and on-line. ,2017,2019
