,Topic,Document
129,Topic 12,Detection of marine methane emissions with AVIRIS band ratios
130,Topic 13,Toxicity mechanisms in Escherichia coli vary for silver nanoparticles and differ from ionic silver.
131,Topic 13,Role of morphology in the aggregation kinetics of ZnO nanoparticles
132,Topic 13,Role of NOM on Fate and Transport of Nanoparticles Under Varying Solution Chemistry
133,Topic 13,Visual Data Exploration of Soil Bacteria Susceptible to Engineered Nanomaterials
134,Topic 13,Evidence for negative effects of TiO2 and ZnO nanoparticles on soil bacterial communities.
135,Topic 13,Role of Material Properties on the Aggregation of Nanoparticles in Natural Waters. Introduction
136,Topic 13,Heteroaggregation of engineered nanoparticles and kaolin clays in aqueous environments
137,Topic 13,Impacts of metal oxide nanoparticles on marine phytoplankton.
138,Topic 13,"Effects of pH, ionic strength and humic acid on the removal of TiO2 nanoparticles from aqueous phase by coagulation"
139,Topic 13,The effect of humic acid on the aggregation of titanium dioxide nanoparticles under different pH and ionic strengths
140,Topic 14,Holocene lowering of the Laurentide ice sheet affects North Atlantic gyre circulation and climate
141,Topic 14,"Bedmap2: improved ice bed, surface and thickness datasets for Antarctica"
142,Topic 14,"The deglacial history of NW Alexander Island, Antarctica, from surface exposure dating"
143,Topic 14,"Age of the Fjord Stade moraines in the Disko Bugt region, western Greenland, and the 9.3 and 8.2 ka cooling events"
144,Topic 14,Initiation of the West Antarctic Ice Sheet and estimates of total Antarctic ice volume in the earliest Oligocene
145,Topic 14,A persistent and dynamic East Greenland Ice Sheet over the past 7.5 million years
146,Topic 14,Constraints on Antarctic Ice Sheet configuration during and following the Last Glacial Maximum and its episodic contribution to sea-level rise
147,Topic 14,A community-based geological reconstruction of Antarctic Ice Sheet deglaciation since the Last Glacial Maximum
148,Topic 14,Preservation of a Preglacial Landscape Under the Center of the Greenland Ice Sheet
149,Topic 14,Drivers of abrupt Holocene shifts in West Antarctic ice stream direction determined from combined ice sheet modelling and geologic signatures
150,Topic 15,Origin of highly heterogeneous 87Sr/86Sr in melt inclusions from oceanic hotspot lavas
151,Topic 15,"Volatile cycling of H2O, CO2, F, and Cl in the HIMU mantle: A new window provided by melt inclusions from oceanic hot spot lavas at Mangaia, Cook Islands"
152,Topic 15,Nickel and helium evidence for melt above the core mantle boundary
153,Topic 15,Evidence for the survival of the oldest terrestrial mantle reservoir
154,Topic 15,The mantle source of thermal plumes: Trace and minor elements in olivine and major oxides of primitive liquids (and why the olivine compositions dont matter)
155,Topic 15,Primordial helium entrained by the hottest mantle plumes
156,Topic 15,"Geochemistry of lavas from the Caroline hotspot, Micronesia: Evidence for primitive and recycled components in the mantle sources of lavas with moderately elevated 3He/4He"
157,Topic 15,Triple oxygen isotopic composition of the high-3He/4He mantle
158,Topic 15,Helium and lead isotopes reveal the geochemical geometry of the Samoan plume
159,Topic 15,"Oceanic lavas sampling the high-3He/4He mantle reservoir: Primitive, depleted, or re-enriched?"
160,Topic 16,Soil storage influences climate evapotranspiration interactions in three western United States catchments
161,Topic 16,Filling in the gaps: Inferring spatially distributed precipitation from gauge observations over complex terrain
162,Topic 16,Seasonality of African Precipitation from 1996 to 2009
163,Topic 16,"High-Elevation Precipitation Patterns: Using Snow Measurements to Assess Daily Gridded Datasets across the Sierra Nevada, California"
164,Topic 16,Winter westerly disturbance dynamics and precipitation in the western Himalaya and Karakoram: a wave-tracking approach
165,Topic 16,Effects of topographic smoothing on the simulation of winter precipitation in High Mountain Asia
166,Topic 16,Seasonal precipitation gradients and their impact on fluvial sediment flux in the Northwest Himalaya
167,Topic 16,Impacts of the Madden Julian oscillation on intraseasonal precipitation over Northeast Brazil
168,Topic 16,Thermodynamic and Dynamic Mechanisms for Hydrological Cycle Intensification over the Full Probability Distribution of Precipitation Events Thermodynamic and Dynamic Mechanisms for Hydrological Cycle Intensification over the Full Probability Distribution of Precipitation Events
169,Topic 16,The spatiotemporal variability of precipitation over the Himalaya: evaluation of one-year WRF model simulation
170,Topic 17,Realistic fisheries management reforms could mitigate the impacts of climate change in most countries
171,Topic 17,Maintaining productivity and incomes in the Tonle Sap fishery in the face of climate change
172,Topic 17,Matching spatial property rights fisheries with scales of fish dispersal
173,Topic 17,Marine protected areas and the value of spatially optimized fishery management
174,Topic 17,Adaptive comanagement to achieve climate ready fisheries
175,Topic 17,Economic Incentives and Global Fisheries Sustainability
176,Topic 17,BE/CNH: Disparate Scales of Process and Nearshore Fishery Management
177,Topic 17,The Economic Value of Rebuilding Fisheries
178,Topic 17,Fisheries governance in the face of climate change: Assessment of policy reform implications for Mexican fisheries
179,Topic 17,Status and Solutions for the Worlds Unassessed Fisheries
180,Topic 18,North Campus Open Space (NCOS) Public Access Implementation Project
181,Topic 18,North Campus Open Space Coastal Wetland Restoration Project
182,Topic 18,North Campus Open Space Wetlands Restoration
183,Topic 18,North Campus Open Space Coastal Habitat Enhancement Program
184,Topic 18,Upper Devereux Slough Restoration
185,Topic 18,North Campus Open Space Restoration (previously named Upper Deveroux Slough) Project Planning Phase UCSB
186,Topic 18,North Campus Open Space Restoration (previously named Upper Deveroux Slough) Project Planning Phase UCSB
187,Topic 18,North Campus Open Space Coastal Wetland Restoration
188,Topic 18,North Campus Open Space Vernal Pool Complex Restoration Project
189,Topic 18,North Campus Open Space Vernal Pool Complex Restoration Project
190,Topic 19,Assessment of deforestation in the Lower Amazon floodplain using historical Landsat MSS/TM imagery
191,Topic 19,Projections of climate change effects on discharge and inundation in the Amazon basin
192,Topic 19,Spatial and temporal variability of macrophyte cover and productivity in the eastern Amazon floodplain: A remote sensing approach
193,Topic 19,Land and Resource Use on the Amazon Floodplain Under Evolving Management Systems and Environmental Change: Fish Forests Cattle and Settlements
194,Topic 19,Land and Resource Use on the Amazon Floodplain Under Evolving Management Systems and Environmental Change: Fish Forests Cattle and Settlements
195,Topic 19,Impacts of floods and droughts on aquatic macrophytes forests and fisheries of central Amazonian river floodplains
196,Topic 19,Impacts of floods and droughts on aquatic macrophytes forests and fisheries of central Amazonian river floodplains
197,Topic 19,"Flooding dynamics on the lower Amazon floodplain: 1. Hydraulic controls on water elevation, inundation extent, and river floodplain discharge"
198,Topic 19,Seasonal water storage on the Amazon floodplain measured from satellites
199,Topic 19,Flooding dynamics on the lower Amazon floodplain: 2. Seasonal and interannual hydrological variability
200,Topic 20,Future Directions in the Research and Management of Marine Snakes
201,Topic 20,Designing marine reserve networks for both conservation and fisheries management
202,Topic 20,The blue paradox: Preemptive overfishing in marine reserves
203,Topic 20,Integration of No Take Marine Reserves in the Assessment of Data Limited Fisheries
204,Topic 20,Fish banks: An economic model to scale marine conservation
205,Topic 20,A General Business Model for Marine Reserves
206,Topic 20,Detecting larval export from marine reserves
207,Topic 20,Evolving science of marine reserves: New developments and emerging research frontiers
208,Topic 20,Communicating marine reserve science to diverse audiences
209,Topic 20,"The science of European marine reserves: Status, efficacy, and future needs"
210,Topic 21,"Trophic versus structural effects of a marine foundation species, giant kelp (Macrocystis pyrifera)"
211,Topic 21,Remote sensing of kelp habitats in the Santa Barbara Channel using SPOT imagery
212,Topic 21,Scalable Aquaculture Monitoring System - SAMS
213,Topic 21,Remote Assessment of Giant Kelp Dynamics - The Engineer of California's Nearshore Ecosystems
214,Topic 21,Synthesizing Optically- and Carbon Export-Relevant Particle Size Distributions for the EXPORTS Field Campaign
215,Topic 21,Spatial synchrony of amphipods in giant kelp forests
216,Topic 21,Spatial Variability in the Resistance and Resilience of Giant Kelp in Southern and Baja California to a Multiyear Heatwave
217,Topic 21,Hyperspectral Remote Sensing of Kelp Condition in the Santa Barbara Channel
218,Topic 21,Hyperspectral Remote Sensing of Kelp Condition in the Santa Barbara Channel
219,Topic 21,"Giant kelp, Macrocystis pyrifera, increases faunal diversity through physical engineering"
220,Topic 22,Projected land-use change impacts on ecosystem services in the United States
221,Topic 22,Spatial Optimization for Land-use Allocation
222,Topic 22,Threats and opportunities for freshwater conservation under future land use change scenarios in the United States
223,Topic 22,The Spectral Dimension in Urban Remote Sensing
224,Topic 22,Future land use scenarios and the loss of wildlife habitats in the southeastern United States
225,Topic 22,Scenarios of future land use change around United States protected areas
226,Topic 22,Beyond the park and city dichotomy: Land use and land cover change in the northern coast of S o Paulo (Brazil)
227,Topic 22,Effects of local land-use planning on development and disturbance in riparian areas
228,Topic 22,Evaluation and development of sustainable urban land use plans through spatial optimization
229,Topic 22,Impacts of Land Cover Change on Simulating Precipitation in Beijing Area of China
230,Topic 23,Species richness and the temporal stability of biomass production: a new analysis of recent biodiversity experiments.
231,Topic 23,Linking species richness and size diversity in birds and fishes
232,Topic 23,The functional role of producer diversity in ecosystems
233,Topic 23,Is the relationship between algal diversity and biomass in North American lakes consistent with biodiversity experiments?
234,Topic 23,Shifting grassland plant community structure drives positive interactive effects of warming and diversity on aboveground net primary productivity
235,Topic 23,Plant diversity effects on grassland productivity are robust to both nutrient enrichment and drought
236,Topic 23,Does productivity drive diversity or vice versa? A test of the multivariate productivity diversity hypothesis in streams
237,Topic 23,Food webs obscure the strength of plant diversity effects on primary productivity
238,Topic 23,"Biodiversity simultaneously enhances the production and stability of community biomass, but the effects are independent"
239,Topic 23,Multiple facets of biodiversity drive the diversity stability relationship
240,Topic 24,Integrated life-cycle assessment of electricity-supply scenarios confirms global environmental benefit of low-carbon technologies
241,Topic 24,Environmental performance of green building code and certification systems.
242,Topic 24,Environmental impacts of products in china.
243,Topic 24,Generalized Make and Use Framework for Allocation in Life Cycle Assessment
244,Topic 24,Spatially-explicit Life Cycle Assessment Tools for Environmental Sustainability
245,Topic 24,Modeling human health characterization factors for indoor nanomaterial emissions in life cycle assessment: a case-study of titanium dioxide
246,Topic 24,"A Methodology for Integrated, Multiregional Life Cycle Assessment Scenarios under Large-Scale Technological Change."
247,Topic 24,Recent developments in Life Cycle Assessment
248,Topic 24,Industry-Cost-Curve Approach for Modeling the Environmental Impact of Introducing New Technologies in Life Cycle Assessment.
249,Topic 24,Application of hybrid life cycle approaches to emerging energy technologies--the case of wind power in the UK.
250,Topic 25,Collaborative Research: Arctic to the Amazon: Physical Processes Controlling Gas Exchange from Freshwater Ecosystems
251,Topic 25,Climate warming response of mountain lakes affected by variations in snow
252,Topic 25,Mixing Dynamics in Lakes Across Climatic Zones
253,Topic 25,"Depth integrated estimates of ecosystem metabolism in a high elevation lake (Emerald Lake, Sierra Nevada, California)"
254,Topic 25,Contrasting the influences of stream inputs and landscape position on bacterioplankton community structure and dissolved organic matter composition in high elevation lake chains
255,Topic 25,Lake size dependency of wind shear and convection as controls on gas exchange
256,Topic 25,Morphometry and Physical Processes of East African Soda Lakes
257,Topic 25,LTREB Renewal-Collaborative Research: Responses of High Elevation Acquatic Ecosystems to Interannual Climate Variability
258,Topic 25,Renewal-Collaborative Research: Responses of High Elevation Aquatic Ecosystems to Interannual Climate Variability
259,Topic 25,Responses of High Elevation Aquatic Ecosystems to Interannual Climate Variability and Trends in Nutrient Inputs(LTREB Program - REU Supplement)
260,Topic 26,SCEC5 Participation Project K: Portable Broadband Instrument Center
261,Topic 26,SCEC4 Participation Project B: The SCEC Portable Broadband Instrument Center
262,Topic 26,SCEC4 Participation Project Q: The SCEC Portable Broadband Instrument Center
263,Topic 26,SCEC5 Participation Project E: SCEC Borehole Instrumentation Program
264,Topic 26,SCEC5 Participation Project J: Borehole Instrumentation Program
265,Topic 26,SCEC5 Participation Project A: SCEC Borehole Instrumentation Program
266,Topic 26,SCEC3 Participation: SCEC Borehole Instrumentation Center
267,Topic 26,SCEC3 Participation: SCEC Borehole Instrumentation Program
268,Topic 26,SCEC4 Participation Project A: SCEC Borehole Instrumentation Center
269,Topic 26,SCEC4 Participation Project A: SCEC Borehole Instrumentation Center
270,Topic 27,Distribution of Surface Wave Breaking Fronts
271,Topic 27,An approach to improve Rayleigh-wave ellipticity estimates from seismic noise: application to the Los Angeles Basin
272,Topic 27,Estimate of Rayleigh to Love wave ratio in the secondary microseism by colocated ring laser and seismograph
273,Topic 27,Spatial Statistics of the Sea Surface in Fetch-Limited Conditions
274,Topic 27,Numerical Modeling of Non-Equilibrium Wind-Waves in the Southern Ocean
275,Topic 27,Modeling and Analysis of Measurements of Waves Interacting with Eddies in the Gulf of Mexico
276,Topic 27,Observations and Modeling of Linear and Nonlinear Spatio-Temporal Wave Statistics
277,Topic 27,SCEC3 Participation: Using Seismic noise for the purpose of improving shallow S-wave velocity models
278,Topic 27,SCEC3: Using Seismic noise for the purpose of improving shallow S-wave velocity models
279,Topic 27,Observations of Surface Wave Current Interaction
280,Topic 28,IMPROVEMENT OF BARE SURFACE SOIL MOISTURE ESTIMATION WITH L-BAND DUAL-POLARIZATION RADAR
281,Topic 28,A QUANTITATIVE MODEL OF SOIL MOISTURE AND INSTANTANEOUS VARIATION OF LAND SURFACE TEMPERATURE
282,Topic 28,Comparisons of soil moisture datasets over the Tibetan Plateau and application to the simulation of Asia summer monsoon onset
283,Topic 28,Estimating Sahelian and East African soil moisture using the Normalized Difference Vegetation Index
284,Topic 28,THE REMOTE SENSING QUANTITATIVE MONITORING OF SOIL MOISTURE IN THE UPSTREAM OF MINJIANG VALLEY
285,Topic 28,A Method to Rebuild Historical Satellite-Derived Soil Moisture Products Based on Retrievals from Current L-Band Satellite Missions
286,Topic 28,Parameterized Exponentially Correlated Surface Emission Model for L-Band Passive Microwave Soil Moisture Retrieval
287,Topic 28,Analysis of spatial distribution and multi-year trend of the remotely sensed soil moisture on the Tibetan Plateau
288,Topic 28,SOIL MOISTURE RETRIEVAL BY REMOTE SENSING AND MULTI-YEAR TREND ANALYSIS OF THE SOIL MOISTURE IN TIBETAN PLATEAU
289,Topic 28,Soil Moisture Variations Monitoring Using New Microwave Soil Moisture Index (MSMI)
290,Topic 29,Characterization of Coastal Urban Watershed Bacterial Communities Leads to Alternative Community-Based Indicators
291,Topic 29,Performance of forty-one microbial source tracking methods: A twenty-seven lab evaluation study
292,Topic 29,Canine Scent Detection and Microbial Source Tracking of Human Waste Contamination in Storm Drains
293,Topic 29,"Evaluation of chemical, molecular, and traditional markers of fecal contamination in an effluent dominated urban stream."
294,Topic 29,Microbial source tracking in a coastal California watershed reveals canines as controllable sources of fecal contamination.
295,Topic 29,Microbial Source Tracking in the Santa Barbara Region
296,Topic 29,Application of an integrated community analysis approach for microbial source tracking in a coastal creek.
297,Topic 29,"Characterization of fecal concentrations in human and other animal sources by physical, culture-based, and quantitative real-time PCR methods"
298,Topic 29,Performance of human fecal anaerobe-associated PCR-based assays in a multi-laboratory method evaluation study
299,Topic 29,Microbial Source Tracking Protocol Development
300,Topic 30,From the Watershed to the Ocean: Using NASA Data and Models to Understand and Predict Variations in Central California Salmon
301,Topic 30,From the Watershed to the Ocean: Using NASA Data and Models to Understand and Predict Variations in Central California Salmon
302,Topic 30,Modeling the Adaptation of the Forest Sector to Climate Change: A Coupled Approach
303,Topic 30,A New Hybrid Snow Light Scattering Model Based on Geometric Optics Theory and Vector Radiative Transfer Theory
304,Topic 30,A Parameterized Surface Emission Model at L-Band for Soil Moisture Retrieval
305,Topic 30,AgInput: An Agricultural Nutrient and Pesticide Source Model
306,Topic 30,Inter-Comparisons of Snow Covered Terrian Microwave Scattering Models
307,Topic 30,From UV to Fluorescence a Semi-analytical Ocean Color Model for MODIS and Beyond
308,Topic 30,A PARAMETERIZED MICROWAVE MODEL FOR SHORT VEGETATION LAYER
309,Topic 30,Comparison between a multi-scattering and multi-layer snow scattering model and its parameterized snow backscattering model
310,Topic 31,Effect of Direct and Interactive Disturbances of the Streamflow Regime of the Middle San Joaquin River on Key Instream Abiotic Drivers of Chinook Salmon (Oncorhynchus tshawytscha) Habitat
311,Topic 31,How Hydrologic Processes Geomorphological Processes and their Interactions in Gravel Rivers Sustain the Extent and Quality of Chinook Salmon (Oncorhynchus tshawytscha) Spawning Habitat During Managed Flow Regimes
312,Topic 31,Collaborative Research: Testing Channel-Flow Models Using Middle-Crustal Rocks of North Himalayan Gneiss Domes
313,Topic 31,Collaborative Research: Testing Channel-Flow Models Using Middle-Crustal Rocks of North Himalayan Gneiss Domes
