,Topic,Document
36,Topic 3,Parameterized Exponentially Correlated Surface Emission Model for L-Band Passive Microwave Soil Moisture Retrieval
37,Topic 3,Spectral responses to plant available soil moisture in a Californian grassland
38,Topic 3,SOIL MOISTURE RETRIEVAL BY REMOTE SENSING AND MULTI-YEAR TREND ANALYSIS OF THE SOIL MOISTURE IN TIBETAN PLATEAU
39,Topic 3,Soil Moisture Variations Monitoring Using New Microwave Soil Moisture Index (MSMI)
40,Topic 4,The Global Distribution and Dynamics of Chromophoric Dissolved Organic Matter
41,Topic 4,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution
42,Topic 4,Application of Novel Satellite Carbon Biomass to Develop Ecosystem Models Capable of Predicting Climate Change
43,Topic 4,Carbon-based phytoplankton size classes retrieved via ocean color estimates of the particle size distribution
44,Topic 4,Plumes and Blooms MODIS Algorithm Maintenance
45,Topic 4,How Data Set Characteristics Influence Ocean Carbon Export Models
46,Topic 4,Bio-optical Variability of Plumes Blooms and Relaxations in the Santa Barbara Channel: How Biased are our Current Assessments?
47,Topic 4,Bio-optical Variability of Plumes Blooms and Relaxations in the Santa Barbara Channel: How Biased are our Current Assessments?
48,Topic 4,A Mechanistic Approach Towards the Remote Assessment of Carbon Export by Sinking Particles in the Open Ocean
49,Topic 4,Ocean Color Observations on CLIVAR: Inherent Optical Propoerties and Community Structure on Trans-Ocean Sections
50,Topic 5,Confronting species distribution model predictions with species functional traits
51,Topic 5,Biotic vs. Abiotic Control of Decomposition: A Comparison of the Effects of Simulated Extinctions and Changes in Temperature
52,Topic 5,"Climate warming promotes species diversity, but with greater taxonomic redundancy, in complex environments"
53,Topic 5,Soil heterogeneity and the distribution of native grasses in California: Can soil properties inform restoration plans?
54,Topic 5,Marine biodiversity and ecosystem functioning: whats known and whats next?
55,Topic 5,Marine biodiversity and ecosystem functioning: whats known and whats next?
56,Topic 5,Species richness enhances both algal biomass and rates of oxygen production in aquatic microcosms
57,Topic 5,Identifying spatially and temporally transferrable surrogate measures of species richness
58,Topic 5,Introduced species that overcome life history tradeoffs can cause native extinctions
59,Topic 5,Species richness and the temporal stability of biomass production: a new analysis of recent biodiversity experiments.
60,Topic 6,Millennial slip rates along the eastern Kunlun fault: Implications for the dynamics of intracontinental deformation in Asia
61,Topic 6,Collaborative Research with UCSB and USGS: Feasibility test for finite fault inversions based on irregular geometry
62,Topic 6,"Along strike growth of the Ostler fault, New Zealand: Consequences for drainage deflection above active thrusts"
63,Topic 6,"Surface ruptures on the transverse Xiaoyudong fault: A significant segment boundary breached during the 2008 Wenchuan earthquake, China"
64,Topic 6,Strong Ground Motion from Earthquakes on Multiple Faults
65,Topic 6,Global Earthquake Characterization on irregular fault surfaces Collaborative Research with UCSB and USGS
66,Topic 6,SCEC4 Participation Project E: Dynamic Ruptures with Off-Fault Dissipation Processes: Constraints on Energy Partition Size-Dependent Levels of Prestress and Ground Motion Predictions
67,Topic 6,SCEC4 Participation Project E: Dynamic Ruptures with Off-Fault Dissipation Processes: Constraints on Energy Partition Size-Dependent Levels of Prestress and Ground Motion Predictions
68,Topic 6,Strong Ground Motions in Salt Lake City and Other Metropolitan Areas From Large Earthquakes on the Wasatch Fault
69,Topic 6,Strong Ground Motions in Salt Lake City and Other Metropolitan Areas From Large Earthquakes on the Wasatch Fault
70,Topic 7,"Anatexis, cooling, and kinematics during orogenesis: Miocene development of the Himalayan metamorphic core, east-central Nepal"
71,Topic 7,"Crustal melt granites and migmatites along the Himalaya: melt source, segregation, transport and granite emplacement mechanisms"
72,Topic 7,Tectonic development of the Samail ophiolite: High precision U Pb zircon geochronology and Sm Nd isotopic constraints on crustal growth and emplacement
73,Topic 7,Direct shear fabric dating constrains early Oligocene onset of the South Tibetan detachment in the western Nepal Himalaya
74,Topic 7,"Eocene deep crust at Ama Drime, Tibet: Early evolution of the Himalayan orogen"
75,Topic 7,Structural and metamorphic evolution of the Karakoram and Pamir following India Kohistan Asia collision
76,Topic 7,Probing the depths of the India Asia collision: U Th Pb monazite chronology of granulites from NW Bhutan
77,Topic 7,Thermochronology of extensional orogenic collapse in the deep crust of Zealandia
78,Topic 7,"Time Scales of Metamorphism, Deformation, and Crustal Melting in a Continental Arc, North Cascades USA"
79,Topic 7,Initiation of crustal shortening in the Himalaya
80,Topic 8,Daytime fire detection using airborne hyperspectral data
81,Topic 8,Hyperspectral remote sensing of fire: State-of-the-art and future perspectives
82,Topic 8,"Large wildfire trends in the western United States, 1984 2011"
83,Topic 8,Burn severity analysis in Mediterranean forests using maximum entropy model trained with EO-1 Hyperion and LiDAR data
84,Topic 8,Effects of fire severity and post-fire climate on short-term vegetation recovery of mixed-conifer and red fir forests in the Sierra Nevada Mountains of California
85,Topic 8,Fire in the Earth System
86,Topic 8,Burning issues: statistical analyses of global fire data to inform assessments of environmental change
87,Topic 8,"Mapping Fire Risk in Mediterranean Ecosystems of California: Vegetation type, Density, Invasive Species, and Fire Frequency"
88,Topic 8,Burn severity influence on post-fire vegetation cover resilience from Landsat MESMA fraction images time series in Mediterranean forest ecosystems
89,Topic 8,Modelling long-term fire regimes of southern California shrublands
