,Topic_Num,Topic_Perc_Contrib,Keywords,Text
10,10.0,0.6433,"base, map, area, resolution, vegetation, spatial, analysis, image, type, mapping","Identifica o da din mica espa o-temporal para estimar rea cultivada de soja a partir de imagens MODIS no Rio Grande do Sul Com este trabalho prop e-se definir um m todo para estimar a rea cultivada de soja na regi o norte do Rio Grande do Sul. Foram propostos seis m todos baseados no perfil espectro-temporal e de valores m nimos e m ximos de imagens NDVI/MODIS referentes s etapas de semeadura, m ximo desenvolvimento e colheita das reas de soja. As estimativas obtidas foram comparadas com dados oficiais do IBGE a partir de an lises estat sticas e da an lise espacial fuzzy. Os resultados indicaram que estimativas agr colas satisfat rias s o dependentes de caracter sticas como o tamanho, o tipo de manejo e a poca de plantio e de colheita das lavouras. Para todos os m todos avaliados foram obtidos valores de coeficientes de determina o e da an lise fuzzy superiores a 0,8 e 0,45, respectivamente. O m todo limiar emp rico aplicado imagem diferen a com inclus o do final de ciclo, gerou estimativas iguais s dos dados oficiais do IBGE, caracter stica que ressalta a utiliza o deste m todo em programas operacionais de previs o de safras. Para an lises espaciais recomenda-se a aplica o do m todo Classifica o de imagens multitemporais que gerou um mapa de melhor qualidade. A efici ncia dos m todos deve ser avaliada em reas de expans o de soja no Estado."
11,11.0,0.5803,"earthquake, wave, velocity, source, seismic, large, structure, km, observation, depth",SCEC4 Participation Project E: Dynamic Ruptures with Off-Fault Dissipation Processes: Constraints on Energy Partition Size-Dependent Levels of Prestress and Ground Motion Predictions We propose to critically investigate the different modes of energy partition in earthquakes and the relevant implications on ground motions rupture speed and levels of prestress by doing self- consistent dynamic rupture simulations. The primary focus is to estimate the relative contribution of on and off-fault dissipation mechanism to the total energy budget. We will start by investigating the conditions under which a steady slip pulse can propagate on a velocity- weakening friction interface embedded in an elasto-plastic bulk. Steady propagation will allow us to examine the relationship between the width of the plastically deforming zone surrounding the fault and the constant width of the slip pulse. Because steady propagation does not emit radiated energy accurate bounds can be placed in this case on the energy dissipated in the inelastic and frictional processes. Steady propagation will also allow us to investigate in a more systematic way the effect of perturbations in the material properties material response and prestress on the rupture dynamics including variability in rupture speed maximum slip rate and ultimately rupture arrest. We will also address several seismologically-relevant questions. For example we will be examine the effect of off-fault plasticity on seismic observables like rupture speed acceleration to limiting speed in sub-shear ruptures transition to super shear and slip rate functions (in terms of the maximum and the average values of slip rates). Moreover we will also be able to assess the impact of off-fault dissipation on the high frequency content of ground motion. This is relevant for developing physically-based models for ground motion prediction. The project will accomplish the following tasks: a. Quantify the magnitude of on- and off-fault dissipation and their relative contribution to the earthquake energy budget for different friction laws (rate and state law/slip weakening law). b. Constrain the absolute levels of prestress consistent with the different modes of ruptures (cracks vs pulses) with and without the presence of off-fault dissipation mechanisms. c. Investigate the effect of off-fault dissipation on high frequency ground motion
12,12.0,0.6157,"water, concentration, effect, method, source, environmental, sample, groundwater, release, natural","Performance of forty-one microbial source tracking methods: A twenty-seven lab evaluation study The last decade has seen development of numerous new microbial source tracking (MST) methodologies, but many of these have been tested in just a few laboratories with a limited number of fecal samples. This method evaluation study examined the specificity and sensitivity of 41 MST methodologies by analyzing data generated in 27 laboratories. MST methodologies that targeted human, cow, ruminant, dog, gull, pig, horse, and sheep were tested against sewage, septage, human, cow, dog, deer, pig, chicken, pigeon, gull, horse, and goose fecal samples. Each laboratory received 64 blind samples containing a single source (singletons) or two sources (doubletons), as well as diluted singleton samples to assess method sensitivity. Laboratories utilized their own protocols when performing the methods and data were deposited in a central database before samples were unblinded. Between one and seven laboratories tested each method. The most sensitive and specific assays, based on an analysis of presence/absence of each marker in target and non-target fecal samples, were HF183 endpoint and HF183SYBR (human), CF193 and Rum2Bac (ruminant), CowM2 and CowM3 (cow), BacCan (dog), Gull2SYBR and LeeSeaGull (gull), PF163 and pigmtDNA (pig), HoF597 (horse), PhyloChip (pig, horse, chicken, deer), Universal 16S TRFLP (deer), and Bacteroidales 16S TRFLP (pig, horse, chicken, deer); all had sensitivity and specificity higher than 80% in all or the majority of laboratories. When the abundance of MST markers in target and non-target fecal samples was examined, some assays that performed well in the binary analysis were found to not be sensitive enough as median concentrations fell below a minimum abundance criterion (set at 50 copies per colony forming units of enterococci) in target fecal samples. Similarly, some assays that cross-reacted with non-target fecal sources in the binary analysis were found to perform well in a quantitative analysis because the cross-reaction occurred at very low levels. Based on a quantitative analysis, the best performing methods were HF183Taqman and BacH (human), Rum2Bac and BacR (ruminant), LeeSeaGull (gull), and Pig2Bac (pig); no cow or dog-specific assay met the quantitative specificity and sensitivity criteria. Some of the best performing assays in the study were run by just one laboratory so further testing of assay portability is needed. While this study evaluated the marker performance in defined samples, further field testing as well as development of frameworks for fecal source allocation and risk assessment are needed."
13,13.0,0.6654,"climate, change, precipitation, variability, climate_change, event, rainfall, trend, region, response","Intraseasonal and Interannual Variability of Extreme Dry and Wet Events over Southeastern South America and the Subtropical Atlantic during Austral Summer Intraseasonal and interannual variability of extreme wet and dry anomalies over southeastern Brazil and the western subtropical South Atlantic Ocean are investigated. Precipitation data are obtained from the Global Precipitation Climatology Project (GPCP) in pentads during 23 austral summers (DecemberFebruary 1979/802001/02). Extreme wet (dry) events are defined according to 75th (25th) percentiles of precipitation anomaly distributions observed in two time scales: intraseasonal and interannual. The agreement between the 25th and 75th percentiles of the GPCP precipitation and gridded precipitation obtained from stations in Brazil is also examined. Variations of extreme wet and dry anomalies on interannual time scales are investigated along with variations of sea surface temperature (SST) and circulation anomalies. The South Atlantic SST dipole seems related to interannual variations of extreme precipitation events over southeastern Brazil. It is shown that extreme wet and dry events in the continental portion of the South Atlantic convergence zone (SACZ) are decoupled from extremes over the oceanic portion of the SACZ and there is no coherent dipole of extreme precipitation regimes between tropics and subtropics on interannual time scales. On intraseasonal time scales, the occurrence of extreme dry and wet events depends on the propagation phase of extratropical wave trains and consequent intensification (weakening) of 200-hPa zonal winds. Extreme wet and dry events over southeastern Brazil and subtropical Atlantic are in phase on intraseasonal time scales. Extreme wet events over southeastern Brazil and subtropical Atlantic are observed in association with low-level northerly winds above the 75th percentile of the seasonal climatology over central-eastern South America. Extreme wet events on intraseasonal time scales over southeastern Brazil are more frequent during seasons not classified as extreme wet or dry on interannual time scales."
14,14.0,0.5653,"ocean, water, flux, lake, surface, measurement, carbon, concentration, global, estimate","DYNAmics of the Madden-Julian Oscillation / DYNAMO Subsurface Fluxes Solar radiation plays a primary role in the diurnal (mixed layer) stratification process influencing both daytime EKE dissipation and setting up nighttime convection (e.g. Simpson and Dickey 1981, Price et al. 1986, Brainerd and Gregg 1993, Hosegood et al. 2008). Direct measurement of the in-water solar flux divergence, or radiant heating rates, allows variations in solar forcing of stratification, that can be significant, to be accurately quantified (e.g. Ohlmann et al. 1996, Ohlmann et al. 1998, Ohlmann et al. 2000, Hosegood et al. 2008). Solar attenuation depends primarily on upper ocean chlorophyll biomass concentration in open ocean waters. Chlorophyll biomass depends (to first order) on the availability of light and nutrients. When measured together, these data inform on bio-physical feedbacks. This statement of work describes the proposed measurement of surface irradiance and in water solar flux profiles during the Dynamo field experiment. Collecting solar flux profiles allows upper ocean stratification, an important component of upper ocean mixed layer evolution, to be quantified. It is also proposed that water samples be collected for laboratory analysis of chlorophyll biomass and nutrients. These data are 152 necessary to understand why the in-water solar flux divergence varies, and the sampling adds little cost to the project. Upper ocean models work with solar transmission, defined as solar flux at depth relative to the incident value just above the surface. Surface irradiance will thus be sampled with a radiometer mounted on the ship’s mast. The complete data set, to be collected throughout the MJO-evolution cruises, will provide the necessary solar transmission information for accurate quantification of upper-ocean mixing, and will allow the bio-physical influence on stratification/dissipation to be better understood. Profiles of downwelling irradiance and upwelling radiance in 11 spectral bands (~300 to ~700 nm) will be measured using a Satlantic Profiler II Radiometer (www.satlantic.com/profiler). The radiometer is a long (122 cm) slender (9 cm in diameter) hand-deployed freefalling instrument (retrieved using a small winch) that eludes ship motion and shadow. Coincident measurements of downwelling spectral irradiance and total solar radiation incident at the surface will be made so that solar transmission profiles can be computed. It is estimated that solar flux profiles will be made to ~40 meters every few hours each day. It is possible that profiles in the morning and evening hours, when total solar energy is reduced, can be made shallower. Water samples at discrete depths will be collected once each day with the ship’s CTD/Rosette system and analyzed for chlorophyll concentration and nutrients. The noontime CTD/Rosette casts will be performed to ~150 meters so that the deep chlorophyll maximum and nutricline are resolved. The radiometer primarily resolves the visible portion of the entire solar spectrum. This is sufficient to resolve the solar flux at depths beneath ~5 m as energy in the ultra-violet and near-infrared spectral regions is completely attenuated in the top few meters of the ocean."
15,15.0,0.6922,"mantle, source, melt, composition, sample, high, low, isotope, ratio, earth",Isotopic diversity in Mangaia melt inclusions: Mantle source or crustal assimilation? Olivine-hosted melt inclusions (inclusions hereafter) are trapped by growing phenocrysts in magma conduits at depth and provide snapshots of diverse melt compositions before complete melt aggregation. Inclusions reveal major and trace element diversity that is not clear from analyses of whole rock lavas alone and the origin of this diversity continues to be a source of vigorous debate. One end member hypothesis is that the diversity in inclusions reflects heterogeneity in mantle source compositions. Alternatively the diversity of inclusion compositions may result from magmatic processes including crustal assimilation. In a groundbreaking discovery extreme Pb-isotopic variabilityspanning 50% of the range identified in global ocean island and MORB lavaswas measured in olivine hosted melt inclusions from a single lava collected from the island of Mangaia (Cook Austral Islands). While many of the Mangaia inclusions host a Pb-isotopic component similar to lavas from the island a surprising result was that some inclusions host less radiogenic Pb-isotopic ratios never before seen in Mangaian lavas. The origin of the Pb isotopic diversity in these inclusions is not well understood and the discovery of isotopic variability gave rise to a host of fundamental questions. Why is it that the inclusions are not isotopically representative of the bulk magma? Is it because inclusions from a single lava trap melts from isotopically-diverse mantle sources? Or does the isotopic diversity reflect assimilation of the lithosphere during magma ascent? Unfortunately bulk abundances of elements most sensitive to crustal assimilation (like B Cl and K) have never been paired with Pb-isotopic compositions in the same inclusions from Mangaia. As a result it has not been possible to evaluate whether the Pb-isotopic variability in Mangaia inclusions relates to mantle source variability or crustal assimilation. In an attempt to evaluate the origin of the isotopic variability in inclusions from Mangaia the PI used start-up funds to undertake a pilot study with his student (Ms. Rita Cabral) in which 14 inclusions from Mangaia were analyzed for major trace and volatile elements. The data from the pilot study are intriguing and hint at a possible role for crustal assimilation. However the data are limited and robust conclusions cannot be drawn without additional data and mantle source variability is possible. In particular Pb-isotopic measurements on the inclusions are necessary to determine whether proxies for crustal assimilation relate to the Pb-isotopic variability. Thus this proposal seeks funding to make additional measurements to test the following hypotheses: 1.) If the Pb isotopic diversity in Mangaia inclusions is a result of crustal assimilation processes the Pb-isotopic compositions will correlate with indices of assimilation (e.g. high Cl and B). 2.) Alternatively the isotopic diversity in Mangaia inclusions reflects diverse mantle sources beneath Mangaia that contribute isotopically-heterogeneous melts to inclusions. To test these hypotheses this proposal seeks funding to measure 87Sr/86Sr (which is also sensitive to assimilation of seawater and crustal materials) and Pb isotopic ratios and major trace and volatile abundances in the same inclusions and expand the study to include a larger suite of inclusions from three Mangaia lavas. The proposed measurements will constrain the relative roles of magmatic processes and mantle sources in generating heterogeneous inclusions and will be important for understanding magma transport and emplacement processes in the lithosphere.
16,16.0,0.5543,"impact, water, environmental, production, change, result, energy, land_use, reduce, urban","Land cover change from cotton to corn in the USA relieves freshwater ecotoxicity impact but may aggravate other regional environmental impacts Rising corn prices in the USA due partly to increasing ethanol demands have led to a significant expansion of corn areas displacing natural vegetation and crops including cotton. From 2005 to 2009, cotton area harvested in the USA nearly halved with a reduction of 2.5 million hectares, while that of corn increased by 1.8 million hectares. However, environmental impacts of land shifts from cotton and corn have been largely neglected in literature. In this study, we evaluate the environmental properties of US corn and cotton production and implications of land cover change from cotton to corn using state-specific data and life cycle impact assessment. Focusing on regional environmental issues, we cover both on-farm direct emissions such as different types of volatile organic compounds and pesticides and indirect emissions embodied in input materials such as fertilizers. TRACI 2.0 is used to evaluate the environmental impacts of these emissions. The results show that US cotton and corn productions per hectare on average generate roughly similar impacts for most impact categories such as eutrophication and smog formation. For water use and freshwater ecotoxicity, corn shows a smaller impact. When land shifts from cotton to corn in cotton-growing states, however, the process may aggravate most of the regional environmental impacts while relieving freshwater ecotoxicity impact. The differences in the two estimates are due mainly to underlying regional disparities in crop suitability that affects input structure and environmental emissions. Our results highlight the importance of potential, unintended environmental impacts that cannot be adequately captured when average data are employed. Understanding the actual mechanisms under which certain policy induces marginal changes at a regional and local level is crucial for evaluating its net impact. Further, our study calls for an attention to biofuel-induced land cover change between crops and associated regional environmental impacts."
17,17.0,0.665,"california, area, coastal, habitat, site, provide, include, large, support, restoration","Research and Restoration at Casmalia Landfill: Ecosystem Evaluation and Restoration for Species Recovery The Casmalia Landfill Superfund Site is located approximately 10 miles southwest of the city of Santa Maria in Santa Barbara County, California. The site was owned and operated by Casmalia Resources and accepted approximately 5.6 billion pounds of waste between 1973 and 1989. Waste disposal units at the site included: 6 landfills for pesticides/solvents, metals, caustic/cyanides, acids, and non-liquid polychlorinated biphenyls; 43 surface impoundments; 15 evaporation pads; 2 non-hazardous waste spreading areas; 6 oil field spreading areas; 11 shallow injection wells; 7 disposal trenches; 1 drum burial unit; and 6 landfills. The site supports five stormwater ponds that may serve as an attractive nuisance to wildlife. The federally endangered California tiger salamander (Ambystoma californiense) and federally threatened Calfornia red-legged frog (Rana draytonii) have been detected at the site. In 2001 the U.S. Fish and Wildlife Service (Service) entered into an agreement with EPA to extend a covenant not to sue for Natural Resource Damages to potentially responsible parties as part of a de minimis settlement. The Service received $178,250 in settlement funds in exchange for the issuance of the covenant not to sue. The Service intends to use these funds to conduct restoration that will benefit the California red-legged frog, California tiger salamander, and other trust resources. Biological surveys were conducted in the late 1990s and early 2000s in support of EPA’s ecological risk assessment and remedial investigation. Updated surveys are necessary in order to determine current usage of the site by our trust resources, and to best guide the use of the limited settlement dollars available to conduct restoration. The Ventura Fish and Wildlife Office proposes to use the requested funding to conduct surveys for the California red-legged frog and California tiger salamander in strategic locations within the site and surrounding habitats to determine current usage of the site by these species. Surveys for California red-legged frogs were previously conducted in 1998, 1999, 2001, 2002, 2003, and 2004. Surveys for California tiger salamanders were conducted in 2002/2003, and 2004/2005. California red-legged frogs were detected in all survey efforts with the exception of 2004. California tiger salamanders were detected during drift fence surveys in 2004/2005. Because California tiger salamander surveys have never been replicated at the site in the six years since the species was detected, and because the species is so acutely imperiled within Santa Barbara County, information about presence or absence of the species at the Casmalia Resources site would be invaluable. In addition, previous surveys for California tiger salamanders 210 established presence of metamorphosed individuals in upland habitat, but the extent of California tiger salamander breeding in aquatic resources at the site remains unknown. The trend in observations of California red-legged frogs throughout the 1998 to 2004 study period demonstrated a rapid decline from over 50 individuals detected in 1998 to no individuals detected in 2003 or 2004. The absence of California red-legged frogs in 2003 and 2004 is suspected to be associated with low water levels in the stormwater ponds due to pumping of water for the construction of a landfill cap, and increasing total dissolved solids (TDS) in the stormwater ponds. The water level in all ponds is currently high relative to 2003/2004, however TDS remains high and the use of the ponds by California red-legged frogs and California tiger salamanders is unknown. It is likely that the high TDS is creating an attractive nuisance for the California tiger salamanders and California red-legged frogs attempting to breed at the site. This project will evaluate the need for (through aquatic and upland surveys) and feasibility of, creating additional breeding ponds at the site to provide suitable breeding habitat away from areas with high TDS. Ponds will subsequently be created as deemed appropriate and monitored in subsequent years. The proposed surveys will assist the Service in providing technical assistance to EPA during the remedial process, and implementing restoration for the California red-legged frog and California tiger salamander. Updated information about the use of the site by California tiger salamanders and California red-legged frogs will support the Service’s effort to work with EPA in evaluating and selecting a remedy that would provide maximum habitat for trust resources and understand the use of the site be these species. The study will be conducted in phases to achieve the overall objectives of the study."
18,18.0,0.6108,"mechanism, level, cell, plant, response, growth, material, form, enhance, oil","C60 Fullerols Enhance Copper Toxicity and Alter the Leaf Metabolite and Protein Profile in Cucumber. Abiotic and biotic stress induce the production of reactive oxygen species (ROS), which limit crop production. Little is known about ROS reduction through the application of exogenous scavengers. In this study, C60 fullerol, a free radical scavenger, was foliar applied to three-week-old cucumber plants (1 or 2 mg/plant) before exposure to copper ions (5 mg/plant). Results showed that C60 fullerols augmented Cu toxicity by increasing the influx of Cu ions into cells (170% and 511%, respectively, for 1 and 2 mg of C60 fullerols/plant). We further use metabolomics and proteomics to investigate the mechanism of plant response to C60 fullerols. Metabolomics revealed that C60 fullerols up-regulated antioxidant metabolites including 3-hydroxyflavone, 1,2,4-benzenetriol, and methyl trans-cinnamate, among others, while it down-regulated cell membrane metabolites (linolenic and palmitoleic acid). Proteomics analysis revealed that C60 fullerols up-regulated chloroplast proteins involved in water photolysis (PSII protein), light-harvesting (CAB), ATP production (ATP synthase), pigment fixation (Mg-PPIX), and electron transport ( Cyt b6f). Chlorophyll fluorescence measurement showed that C60 fullerols significantly accelerated the electron transport rate in leaves (13.3% and 9.4%, respectively, for 1 and 2 mg C60 fullerols/plant). The global view of the metabolic pathway network suggests that C60 fullerols accelerated electron transport rate, which induced ROS overproduction in chloroplast thylakoids. Plant activated antioxidant and defense pathways to protect the cell from ROS damaging. The revealed benefit (enhance electron transport) and risk (alter membrane composition) suggest a cautious use of C60 fullerols for agricultural application."
19,19.0,0.6972,"fault, rate, basin, km, fold, central, deformation, tectonic, time, range","Initiation of Sierra Nevada range front Walker Lane faulting ca. 12 Ma in the Ancestral Cascades arc The eastern escarpment of the Sierra Nevada (USA) forms one of the most prominent topographic and geologic features in the Cordillera, yet the timing and nature of fault displacements along it remain relatively poorly known. The central Sierra Nevada range front is an ideal place to determine the structural evolution of the range front because it has abundant dateable Cenozoic volcanic rocks. The Sonora Pass area of the central Sierra Nevada is particularly good for reconstructing the slip history of range-front faults, because it includes unusually widespread and distinctive high-K volcanic rocks (the ca. 11.59 Ma Stanislaus Group) that serve as outstanding strain markers. These include the following, from base to top. (1) The Table Mountain Latite (TML) consists of voluminous trachyandesite, trachybasaltic andesite, and basalt lava flows, erupted from fault-controlled fissures in the Sierra Crest graben-vent system. (2) The Eureka Valley Tuff consists of three trachydacite ignimbrite members erupted from the Little Walker caldera. These ignimbrites are interstratified with lava flows that continued to erupt from the Sierra Crest graben-vent system, and include silicic high-K as well as intermediate to mafic high-K lavas. The graben-vent system consists of a single º27-km-long, º810-km-wide approximately north-south graben that is along the modern Sierran crest between Sonora Pass and Ebbetts Pass, with a series of approximately north-south half-grabens on its western margin, and an º24-km-wide northeast transfer zone emanating from the northeast boundary of the graben on the modern range front south of Ebbetts Pass. In this paper we focus on the structural evolution of the Sonora Pass segment of the Sierra Nevada range front, which we do not include in the Sierra Crest graben-vent complex because we have found no vents for high-K lava flows here. However, we show that these faults localized the high-K Little Walker caldera. We demonstrate that the range-front faults at Sonora Pass were active before and during the ca. 11.59 Ma high-K volcanism. We show that these faults are dominantly approximately north-south down to the east normal faults, passing northward into a system of approximately northeast-southwest sinistral oblique normal faults that are on the southern end of the º24-km-wide northeast transfer zone in the Sierra Crest graben-vent complex. At least half the slip on the north-south normal faults on the Sonora Pass range front occurred before and during eruption of the TML, prior to development of the Little Walker caldera. It has previously been suggested that the range-front faults formed a right-stepping transtensional stepover that controlled the siting of the Little Walker caldera; we support that interpretation by showing that synvolcanic throw on the faults increases southward toward the caldera. The Sonora PassLittle Walker caldera area is shown here to be very similar in structural style and scale to the transtensional stepover at the Quaternary Long Valley field. Furthermore, the broader structural setting of both volcanic fields is similar, because both are associated with a major approximately northeast-southwest sinistral oblique normal fault zone. This structural style is typical of central Walker Lane belt transtension. Previous models have called for westward encroachment of Basin and Range extension into the Sierra Nevada range front after arc volcanism ceased (ca. 63.5 Ma); we show instead that Walker Lane transtension is responsible for the formation of the range front, and that it began by ca. 12 Ma. We conclude that Sierra Nevada range-front faulting at Sonora Pass initiated during high-K arc volcanism, under a Walker Lane transtensional strain regime, and that this controlled the siting of the Little Walker caldera."
