,Topic_Num,Topic_Perc_Contrib,Keywords,Text
10,10.0,0.5542,"deep, depth, sea, oil, show, surface, shallow, bubble, marine, process","Uplifting of carbon monoxide from biomass burning and anthropogenic sources to the free troposphere in East Asia East Asia has experienced rapid development with increasing carbon monoxide (CO) emission in the past decades. Therefore, uplifting CO from the boundary layer to the free troposphere in East Asia can have great implications on regional air quality around the world. It can also influence global climate due to the longer lifetime of CO at higher altitudes. In this study, three cases of high CO episodes in the East China Sea and the Sea of Japan from 2003 to 2005 are examined with spaceborne Measurements of Pollution in the Troposphere (MOPITT) data, in combination with aircraft measurements from the Measurement of Ozone and Water Vapor by Airbus In-Service Aircraft (MOZAIC) program. High CO abundances of 300550 ppbv are observed in MOZAIC data in the free troposphere during these episodes. These are among the highest CO abundances documented at these altitudes. On average, such episodes with CO over 400 ppbv (in the 2003 and 2004 cases) and between 200 and 300 ppbv (in the 2005 case) may occur 25 and 1020% in time, respectively, in the respective altitudes over the region. Correspondingly, elevated CO is shown in MOPITT daytime data in the middle to upper troposphere in the 2003 case, in the lower to middle troposphere in the 2004 case, and in the upper troposphere in the 2005 case. Through analyses of the simulations from a chemical transport model GEOS-Chem and a trajectory dispersion model FLEXPART, we found different CO signatures in the elevated CO and distinct transport pathways and mechanisms for these cases. In the 2003 case, emissions from large forest fires near Lake Baikal dominated the elevated CO, which had been rapidly transported upward by a frontal system from the fire plumes. In the 2004 case, anthropogenic CO from the North China Plain experienced frontal lifting and mostly reached ~ 700 hPa near the East China Sea, while CO from biomass burning over Indochina experienced orographic lifting, lee-side-trough-induced convection, and frontal lifting through two separate transport pathways, leading to two distinct CO enhancements around 700 and 300 hPa. In the 2005 case, the observed CO of ~ 300 ppbv around 300 hPa originated from anthropogenic sources over the Sichuan Basin and the North China Plain and from forest fires over Indochina. The high CO was transported to such altitudes through strong frontal lifting, interacting with convection and orographic lifting. These cases show that topography affects vertical transport of CO in East Asia via different ways, including orographic uplifting over the Hengduan Mountains, assisting frontal lifting in the North China Plain, and facilitating convection in the Sichuan Basin. In particular, topography-induced lee-side troughs over Indochina led to strong convection that assisted CO uplifting to the upper troposphere. This study shows that the new daytime MOPITT near-infrared (NIR) and thermal-infrared (TIR) data (version 5 or above) have enhanced vertical sensitivity in the free troposphere and may help qualitative diagnosis of vertical transport processes in East Asia."
11,11.0,0.4113,"river, flow, channel, stream, sediment, watershed, flood, floodplain, discharge, downstream","Hydraulic and geomorphic processes in an overbank flood along a meandering, gravel bed river: implications for chute formation Hydraulic interactions between rivers and floodplains produce off-channel chutes, the presence of which influences the routing of water and sediment and thus the planform evolution of meandering rivers. Detailed studies of the hydrologic exchanges between channels and floodplains are usually conducted in laboratory facilities, and studies documenting chute development are generally limited to qualitative observations. In this study, we use a reconstructed, gravel-bedded, meandering river as a field laboratory for studying these mechanisms at a realistic scale. Using an integrated field and modeling approach, we quantified the flow exchanges between the river channel and its floodplain during an overbank flood, and identified locations where flow had the capacity to erode floodplain chutes. Hydraulic measurements and modeling indicated high rates of flow exchange between the channel and floodplain, with flow rapidly decelerating as water was decanted from the channel onto the floodplain due to the frictional drag provided by substrate and vegetation. Peak shear stresses were greatest downstream of the maxima in bend curvature, along the concave bank, where terrestrial LiDAR scans indicate initial floodplain chute formation. A second chute has developed across the convex bank of a meander bend, in a location where sediment accretion, point bar development and plant colonization have created divergent flow paths between the main channel and floodplain. In both cases, the off-channel chutes are evolving slowly during infrequent floods due to the coarse nature of the floodplain, though rapid chute formation would be more likely in finer-grained floodplains. The controls on chute formation at these locations include the flood magnitude, river curvature, floodplain gradient, erodibility of the floodplain sediment, and the flow resistance provided by riparian vegetation. Copyright 2015 John Wiley & Sons, Ltd."
12,12.0,0.4909,"sample, measure, ratio, isotope, concentration, result, mass, measurement, analysis, determine","Trace Element Characterisation of MAD 559 Zircon Reference Material for Ion Microprobe Analysis We document the composition of a natural zircon gemstone sourced from Madagascar, MAD559 a new reference material for calibrating trace element mass fractions in zircon measured by SIMS. The composition of MAD559 was quantified by calibration relative to the welldocumented zircon reference material 91500, for which we compiled existing published data (Mg, Al, Y, rare earth elements, Hf, U, Th) and performed new measurements to characterise the mass fraction of less commonly measured elements (Li, Be, B, F, Na, P, K, Ca, Sc, Ti, Fe, Nb). Measurement results of SL13, CZ3 and MAD1 zircons and NIST SRM glasses were performed as quality control materials to test measurement bias and repeatability. We show the intermediate precision for most trace element measurement results of MAD559 to be between 3% and 5% RSD based on 139 measurements by SIMS on twentyfive individual polished zircon chips measured during a 24h period, as well as repeat measurements performed over five separate analytical sessions. Trace element mass fractions were also measured by LAICPMS in two different laboratories, and major element compositions measured by electron microprobe, to compare with results measured by SIMS. Based on laser Raman and hyperspectral cathodoluminescence spectroscopy, we show MAD559 to have high crystal disorder due to radiation damage relative to crystalline zircon (e.g., SL13 and 91500 zircon). Although the high cumulative alpha dose of MAD559 zircon makes it a poor reference material for geochronology, the consistency of the trace element mass fraction results measured in multiple sessions and by various measurement methods shows that it is an ideal reference material for microanalytical trace element mass fraction quantification of zircon. Composition of new zircon reference material (MAD559) for calibrating trace element mass fractions measured by SIMS. MAD559 is homogeneous and repeatable for most trace elements (e.g., Sc, Ti, Nb, Y, REE, Th U). New results ensure accurate and consistent comparison for mass fractions measured by different measurement principles using MAD1, MAD559, 91500, CZ3, SL13 or other zircon reference materials."
13,13.0,0.3417,"approach, method, base, system, develop, framework, apply, application, problem, tool","Evolution of designed industrial symbiosis networks in the Ulsan Eco-industrial Park: research and development into business as the enabling framework Eco-Industrial Parks (EIPs) cultivate symbiotic relationships by developing waste and by-product networks among companies in a mutual and systematic manner. In the past, the development of self-organized symbioses has been demonstrated to be more successful and beneficial. However, in the absence of effective communication channels among companies, efforts to transform the conventional industrial complexes into EIPs need to stimulate the development of symbioses with a systematic design approach. To develop and implement such symbioses (described as designed networks), the Ulsan EIP center devised a research and development into business (R&DB) framework for the effective expansion of symbioses in the industrial complexes. Based on this framework, the Ulsan EIP center has so far facilitated forty symbioses, out of which thirteen networks are currently in operation, twenty are under negotiation and/or design, and seven are under feasibility investigation/evaluation. This paper might serve as an out of experience guideline for other worldwide EIP initiatives, wherein we demonstrate the viability of designed symbiosis networks using policy instruments like national EIP programs, the presence of facilitators such as an EIP center, and an enabling framework such as the R&DB framework that are observed to be critical factors for retro-fitting the conventional industrial complexes into EIPs."
14,14.0,0.5433,"soil, microbial, plant, nitrogen, ecosystem, dry, decomposition, litter, effect, root","Effects of altered dry season length and plant inputs on soluble soil carbon Soil moisture controls microbial activity and soil carbon cycling. Because microbial activity decreases as soils dry, decomposition of soil organic matter (SOM) is thought to decrease with increasing drought length. Yet, microbial biomass and a pool of water-extractable organic carbon (WEOC) can increase as soils dry, perhaps implying microbes may continue to break down SOM even if drought stressed. Here, we test the hypothesis that WEOC increases as soils dry because exoenzymes continue to break down litter, while their products accumulate because they cannot diffuse to microbes. To test this hypothesis, we manipulated field plots by cutting off litter inputs and by irrigating and excluding precipitation inputs to extend or shorten the length of the dry season. We expected that the longer the soils would remain dry, the more WEOC would accumulate in the presence of litter, whereas shortening the length of the dry season, or cutting off litter inputs, would reduce WEOC accumulation. Lastly, we incubated grass roots in the laboratory and measured the concentration of reducing sugars and potential hydrolytic enzyme activities, strictly to understand the mechanisms whereby exoenzymes break down litter over the dry season. As expected, extending dry season length increased WEOC concentrations by 30% above the 108 Œºg C/g measured in untreated plots, whereas keeping soils moist prevented WEOC from accumulating. Contrary to our hypothesis, excluding plant litter inputs actually increased WEOC concentrations by 40% above the 105 Œºg C/g measured in plots with plants. Reducing sugars did not accumulate in dry senesced roots in our laboratory incubation. Potential rates of reducing sugar production by hydrolytic enzymes ranged from 0.7 to 10 Œºmol g-1 h-1 and far exceeded the rates of reducing sugar accumulation (~0.001 Œºmol g-1 h-1 ). Our observations do not support the hypothesis that exoenzymes continue to break down litter to produce WEOC in dry soils. Instead, we develop the argument that physical processes are more likely to govern short-term WEOC dynamics via slaking of microaggregates that stabilize SOM and through WEOC redistribution when soils wet up, as well as through less understood effects of drought on the soil mineral matrix."
15,15.0,0.4255,"forest, vegetation, tree, drought, cover, year, canopy, annual, biomass, disturbance","Spatiotemporal Patterns and Phenology of Tropical Vegetation Solar-Induced Chlorophyll Fluorescence across Brazilian Biomes Using Satellite Observations Solar-induced fluorescence (SIF) has been empirically linked to gross primary productivity (GPP) in multiple ecosystems and is thus a promising tool to address the current uncertainties in carbon fluxes at ecosystem to continental scales. However, studies utilizing satellite-measured SIF in South America have concentrated on the Amazonian tropical forest, while SIF in other regions and vegetation classes remain uninvestigated. We examined three years of Orbiting Carbon Observatory-2 (OCO-2) SIF data for vegetation classes within and across the six Brazilian biomes (Amazon, Atlantic Forest, Caatinga, Cerrado, Pampa, and Pantanal) to answer the following: (1) how does satellite-measured SIF differ? (2) What is the relationship (strength and direction) of satellite-measured SIF with canopy temperature (Tcan), air temperature (Tair), and vapor pressure deficit (VPD)? (3) How does the phenology of satellite-measured SIF (duration and amplitude of seasonal integrated SIF) compare? Our analysis shows that OCO-2 captures a significantly higher mean SIF with lower variability in the Amazon and lower mean SIF with higher variability in the Caatinga compared to other biomes. OCO-2 also distinguishes the mean SIF of vegetation types within biomes, showing that evergreen broadleaf (EBF) mean SIF is significantly higher than other vegetation classes (deciduous broadleaf (DBF), grassland (GRA), savannas (SAV), and woody savannas (WSAV)) in all biomes. We show that the strengths and directions of correlations of OCO-2 mean SIF to Tcan, Tair, and VPD largely cluster by biome: negative in the Caatinga and Cerrado, positive in the Pampa, and no correlations were found in the Pantanal, while results were mixed for the Amazon and Atlantic Forest. We found mean SIF most strongly correlated with VPD in most vegetation classes in most biomes, followed by Tcan. Seasonality from time series analysis reveals that OCO-2 SIF measurements capture important differences in the seasonal timing of SIF for different classes, details masked when only examining mean SIF differences. We found that OCO-2 captured the highest base integrated SIF and lowest seasonal pulse integrated SIF in the Amazon for all vegetation classes, indicating continuous photosynthetic activity in the Amazon exceeds other biomes, but with small seasonal increases. Surprisingly, Pantanal EBF SIF had the highest total integrated SIF of all classes in all biomes due to a large seasonal pulse. Additionally, the length of seasons only accounts for about 30% of variability in total integrated SIF; thus, integrated SIF is likely captures differences in photosynthetic activity separate from structural differences. Our results show that satellite measurements of SIF can distinguish important functioning and phenological differences in vegetation classes and thus has the potential to improve our understanding of productivity and seasonality in the tropics."
16,16.0,0.454,"ocean, global, carbon, phytoplankton, export, nutrient, particle, production, concentration, surface","Transparent exopolymer particles: Effects on carbon cycling in the ocean Transparent Exopolymer Particles (TEP) have received considerable attention since they were first described in the ocean more than 20years ago. This is because of their carbon-rich composition, their high concentrations in oceans surface waters, and especially because of their ability to promote aggregation due to their high stickiness (i.e.biological glue). As large aggregates contribute significantly to vertical carbon flux, TEP are commonly seen as a key factor that drives the downward flux of particulate organic carbon (POC). However, the density of TEP is lower than that of seawater, which causes them to remain in surface waters and even move upwards if not ballasted by other particles, which often leads to their accumulation in the sea surface microlayer. Hence we question here the generally accepted view that TEP always increase the downward flux of POC via gravitational settling. In the present reassessment of the role of TEP, we examine how the presence of a pool of non-sinking carbon-rich particulate organic matter in surface waters influences the cycling of organic carbon in the upper ocean at daily to decadal time scales. In particular, we focus on the role of TEP in the retention of organic carbon in surface waters versus downward export, and discuss the potential consequences of climate change on this process and on the efficiency of the biological carbon pump. We show that TEP sink only when ballasted with enough high-density particles to compensate their low density, and hence that their role in vertical POC export is not solely linked to their ability to promote aggregation, but also to their contribution to the buoyancy of POC. It follows that the TEP fraction of POC determines the degree of retention and remineralization of POC in surface waters versus its downward export. A high TEP concentration may temporally decouple primary production and downward export. We identify two main parameters that affect the contribution of TEP to POC cycling; TEP stickiness, and the balance between TEP production and degradation rates. Because stickiness, production and degradation of TEP vary with environmental conditions, the role of TEP in controlling the balance between retention versus export, and hence the drawdown of atmospheric CO2 by the biological carbon pump, can be highly variable, and is likely to be affected by climate change."
17,17.0,0.5677,"wave, surface, current, wind, velocity, observation, depth, flow, small, ocean","Improved Methods to Calculate Depth-Resolved Velocities from Glider-Mounted ADCPs Ocean gliders are autonomous underwater vehicles typically used to sample spatial variations in scalar variables (e.g., temperature, salinity, and bio-optical water properties) along transects. More recently, gliders have been equipped with ADCPs for measuring current profiles along transects. Accurate measurement of velocity profiles from a moving platform requires knowledge of the platform motion over the earth. Determination of glider motion over the earth relies on glider GPS positions available only at times of glider surfacing. Glider surfacing intervals typically range from 10s of minutes to hours, precluding accurate instantaneous knowledge of glider motion. This is a major challenge for measuring velocity profiles from ocean gliders. One approach for determining vertical velocity profiles from glider-mounted ADCPs relies on estimating depth-integrated currents averaged between glider surfacings. Once estimated, vertically averaged velocity can be combined with horizontal glider velocities relative to the water to obtain depth-resolved velocities using methods of Visbeck (2001) and Todd et al. (2011). The vertically averaged velocity is calculated from the distance the glider strays from its projected position during the time between surfacings. This distance is computed as the difference between the dead-reckoned surfacing location and the actual surfacing location as measured by GPS. There are numerous methods for computing the dead-reckoned position of glider surfacings, but these have not been evaluated to determine which best predicts surfacing locations. Here, three methods for calculating vertically averaged horizontal current velocities from gliders are evaluated. Two Slocum Coastal G1 gliders (manufactured by Teledyne Webb Research), each with an upward looking 1 MHz ADCP (manufactured by Teledyne RD Instruments), were deployed off the California coast during the summer of 2012. The gliders flew 500 m square patterns around a bottom-mounted, upward-looking 600 kHz ADCP (manufactured by Teledyne RD Instruments) moored at a depth of 26 m. The moored ADCP data are key to evaluating methods for computing vertically averaged velocity from gliders and ultimately assessing depth-resolved current velocities obtained from glider-mounted ADCPs. The first method calculates the gliders horizontal velocity using pitch and vertical velocity. Vertical velocity is calculated by taking the derivative of pressure with respect to time. It is often assumed that the flight path is in the direction of the gliders long axis and Œ±, the angle of attack or the angle between the gliders path through the water and its long axis, is zero. This assumption can result in errors of 2.5 cm s1 (Merckelbach et al. 2001) which are on the order of 10% of the horizontal velocity. Previous studies have estimated angle of attack (e.g. Sherman et al. 2001) using model results for internally-mounted ADCPs on Spray gliders. The gliders in this study carried externally-mounted ADCPs, so errors may also result from extra drag and non-zero values of $a$. The value of Œ± is found by maximizing the $\text{r}^{2}$ of vertically averaged velocities found by this method with vertically averaged velocities from the mooring. The second method directly measures currents using the ADCPs mounted on the gliders. Water velocity relative to the glider is obtained from the ADCP bin nearest the glider which is 1m long and begins 1.2 m from the glider. This velocity is calculated on glider upcasts and downcasts in east-north-up (ENU) coordinates. Velocities in ENU coordinates are derived from software provided with the ADCP. The third method uses velocities measured along the ADCP beams in so-called beam coordinates. Directly measured velocity can then be used (see Todd et al. 2011) from the component of the ADCP beams oriented in the direction parallel to the gliders long axis this can be 2 or 3 beams depending on the transducer head on the ADCP. Experimentation with these data and this method is ongoing and will be compared with the previously mentioned methods. The three methods are used to estimate vertically averaged currents from the gliders, and these are compared with vertically averaged currents from the bottom-mounted ADCP. Of the three methods, the first produces the highest correlations (r2 values). However, it is necessary to estimate the angle of attack when using the first method."
18,18.0,0.5567,"surface, soil_moisture, land, base, satellite, observation, algorithm, vegetation, band, method","A New Algorithm for Soil Moisture Retrieval with L-Band Radiometer A soil moisture retrieval algorithm for bare surface using the L-band radiometer dual-polarization measurements was developed in this study. The newly developed algorithm is based on a simple semi-empirical model, the Hp model. Through analyzing the simulated database of the Advanced Integral Equation Model (AIEM) under SMAP (Soil Moisture Active and Passive) sensor configurations, it was found that the surface roughness can be cancelled out using the relationship between the V and H polarization surface reflectivity. This leads to a new method for estimation of the soil dielectric properties directly from the radiometer measurements. The simulated data and ground radiometer measurements of bare surface obtained from Beltsville Agriculture Research Center (BARC) during 19791981 were used for validation. The inversion accuracy with RMSE (root-mean-square error) for simulated data and bare surface experimental data are 0.014 m3/m3 and 0.036 m3/m3, respectively. The soil moisture retrieval in vegetated area was performed using the PALS radiometer measurements at L-band during Soil Moisture Experiments in 2002 (SMEX02). The retrieval error was higher for the SMEX02 data, with overall RMSE of 0.043 m3/m3, due to the high vegetation water content. Using SMOS data in Yanco region soil moisture was retrieved and evaluated, the results are encouraging, with the RMSE of 0.043 m3/m3 and 0.041 m3/m3 for ascending and descending, respectively. However, the algorithm performed satisfactorily over the all surface cover conditions including bare and vegetated region."
19,19.0,0.4671,"specie, community, plant, diversity, ecosystem, effect, biomass, native, biodiversity, abundance","The influence of phylogenetic relatedness on species interactions among freshwater green algae in a mesocosm experiment A long-standing hypothesis in ecology and evolutionary biology is that closely related species are more ecologically similar to each other and therefore compete more strongly than distant relatives do. A recent hypothesis posits that evolutionary relatedness may also explain the prevalence of mutualisms, with facilitative interactions being more common among distantly related species. Despite the importance of these hypotheses for understanding the structure and function of ecological communities, experimental tests to determine how evolutionary relatedness influences competition and facilitation are still somewhat rare.Here, we report results of a laboratory experiment in which we assessed how competitive and facilitative interactions among eight species of freshwater green algae are influenced by their relatedness. We measured the prevalence of competition and facilitation among 28 pairs of freshwater green algal species that were chosen to span a large gradient of phylogenetic distances. For each species, we first measured its invasion success when introduced into a steady-state population of another resident species. Then, we compared its growth rate when grown alone in monoculture to its growth rate when introduced as an invader. The change in the species population growth rate as an invader (sensitivity) is used as a measure of the strength of its interaction with the resident species. A reduced growth rate in the presence of another species indicates competition, whereas an increased growth rate indicates facilitation.Although competition between species was more frequent (75% of interactions), facilitation was common (the other 25% of interactions). We found no significant relationship between the phylogenetic distance separating two interacting species and the success of invasion, nor the prevalence or strength of either competition or facilitation. Interspecific interactions depended more on the identity of the species, with certain taxa consistently acting as good or bad competitors/facilitators. These species were not predictable a priori from their positions on a phylogeny.Synthesis. The phylogenetic relatedness of the green algae species used here did not predict the prevalence of competitive and facilitative interactions, rejecting the hypothesis that close relatives compete strongly and contesting recent evidence that facilitation is likely to occur between distant relatives."
20,20.0,0.3859,"increase, temperature, effect, decrease, change, reduce, result, warm, warming, show","Effect of Reduced Summer Cloud Shading on Evaporative Demand and Wildfire in Coastal Southern California Cloud shading limits surface radiation, thus reducing vegetation water stress and, presumably, flammability. Since the early 1970s, cloud observations from airfields in coastal Southern California (CSCA) indicate reductions of ~2550% in warmseason frequency of daytime stratus clouds at many sites, including fireprone wildlandurban interface zones. We use 10 years of meteorological, surface radiation, and cloud observations to statistically model the effects of clouds on warmseason surface energy fluxes in CSCA. Forcing our model with cloud observations, we estimate that reduced warmseason cloud shading since the 1970s significantly enhanced daytime solar radiation and evaporative demand throughout much of CSCA, particularly in greater Los Angeles and northern San Diego. Correlation with burned area and live fuel moisture implicates stratus cloud shading as an important driver of warmseason wildfire activity in CSCA. Large reductions in cloud shading have likely enhanced warmseason wildfire potential in many CSCA areas when and where fuels are not limiting. In much of coastal Southern California, the frequency of summer clouds has declined rapidly in recent decades due to warming from urbanization and greenhouse gases. These reductions have significantly reduced cloud shading and increased evaporative demand, particularly in greater Los Angeles and northern San Diego, such that a relatively cloudy summer today is similar to a relatively clear summer in the 1970s. Clouds appear to be important regulators of summer wildfire activity in this region, as the shade they provide slows loss of moisture from vegetation. On the vegetated mountainsides that ring coastal Southern Californias large cities, increases in summer sunlight and evaporative demand have likely enhanced summer wildfire potential over the past several decades. This effect is expected to continue due to continued urban expansion and positive feedbacks, where warming due to cloud loss promotes further warming and cloud loss. Warmseason daytime cloud frequency significantly declined in much of coastal Southern California over the past half century Based on a statistical model, observed reductions in coastal cloud frequency significantly increased net radiation and evaporative demand Correlation analysis suggests that summer cloud frequency significantly affects fuel moisture and burned area in coastal Southern California"
21,21.0,0.5968,"experiment, flow, process, source, fluid, signal, eruption, system, year, network",Collaborative Research: Large-scale Long-term Multi-directional Cross-hole Experiments in the Upper Oceanic Crust Using a Borehole Observatory Network This effort will support of multidisciplinary borehole experiments in oceanic crust to assess hydrogeologic solute and colloid transport and microbiological processes and properties at multiple spatial and temporal scales (meters to kilometers minutes to years). Results of these experiments will comprise a major advance in our understanding of hydrogeologic properties and fluid processes within oceanic crust and will help to develop new tools and methods that can be applied in many settings. Earlier grants funded engineering design and testing in preparation for these experiments; the present proposal is for support of scientific activities that will occur after IODP Expedition 327 beginning in Fall 2010. IODP Expedition 327 will drill and deepen three basement holes and install three new subseafloor borehole observatory systems (CORKs). Expedition 327 will include single and cross-hole hydrogeologic testing to assess multi-scale formation properties including the nature of hypothesized azimuthal and vertical crustal anisotropy. IODP researchers will also conduct singleand multi-hole tracer experiments injecting a mixture of tracers during a 24-hour pumping test in one of the new basement holes and monitoring for tracer arrival at holes 35 m to 2400 m away. We request support for two dive programs in Summer 2011 and 2012 one and two years after drilling followed by analytical and modeling work. The Summer 2011 expedition will include: downloading pressure data and collecting borehole fluid samples from several observatories at multiple depth using valves and samplers at the seafloor exchanging long-term wellhead OsmoSamplers and microbial fluid samplers and attaching an autonomous flow meter to one wellhead and opening a ball valve initiating a long-term cross-hole experiment. We anticipate fluid discharge from the naturally- overpressured formation at 510 L/s for the subsequent year. The Summer 2012 expedition will be similar except that we will recover the flow meter and close the valve on the free-flowing CORK allowing formation pressure to recover. Analytical work will determine fluid and microbial characteristics and relationships and numerical studies will evaluate coupled fluid- thermal-chemical flow processes in the crust with three-dimensional modeling and conditional simulation.
22,22.0,0.6498,"form, mechanism, type, property, state, system, describe, group, similar, cluster","New Leontiniid Notoungulata (Mammalia) from Chile and Argentina: Comparative Anatomy, Character Analysis, and Phylogenetic Hypotheses Herein we describe and name two new species of leontiniid notoungulates, one being the first known from Chile, the other from the Deseadan South American Land Mammal Age (SALMA) of Patagonia, Argentina. The Chilean leontiniid is from the lower horizons of the Cura-Mall n Formation (Tcm1) at Laguna del Laja in the Andean Main Range of central Chile. This new species, Colpodon antucoensis, is distinguishable from Patagonian species of Colpodon by way of its smaller I2; larger I3 and P1; sharper, V-shaped snout; and squarer upper premolars. The holotype came from a horizon that is constrained below and above by 40Ar/39Ar ages of 19.53 0.60 and 19.25 1.22, respectively, suggesting an age of roughly 19.5 Ma, or a little older (º19.8 Ma) when corrected for a revised age of the Fish Canyon Tuff standard. Either age is slightly younger than ages reported for the Colhuehuapian SALMA fauna at the Gran Barranca. Taxa from the locality of the holotype of C. antucoensis are few, but they (e.g., the mylodontid sloth, Nematherium, and a lagostomine chinchillid) also suggest a post-Colhuehuapian faunal age. The second leontiniid named in this paper has been known in the literature for over 75 years as Leontinia sp. Several specimens referable to this species were discovered at Pico Truncado (Deseadan SALMA) during the Field Museums first Marshall Field Expedition, led by Elmer Riggs in 1924. This new taxon, Elmerriggsia fieldia, is a small-bodied leontiniid, possessing grooved premolar protocones that lack intermediate lingual cingulae, but have well-developed labial cingulids on their lower molars. This new taxon is fairly common at Pico Truncado, in Santa Cruz, Argentina, but we have not encountered it at other localities. The character-taxon matrix that we constructed for this analysis differs from those previously developed for notoungulates by the substantially greater number of postcranial characters used (41). Colbertia magellanica was used as the outgroup in all analyses. Our initial phylogenetic analysis was limited to only taxa traditionally assigned to the Toxodontia. These included a dozen taxa traditionally considered to be leontiniids, two toxodontids, four notohippids, a homalodotheriid, and two isotemnids. The taxa traditionally classified as leontiniids formed a monophyletic group, in which V-shaped muzzle, caniniform i3, femur with medial suprapatellar ridge, and large wedge-shaped fibular facet of the calcaneum were unequivocal synapomorphies. Colpodon spp. nested within a clade that includes the tropical leontiniids, Taubatherium and Huilatherium. Toxodontids and notohippids formed a monophyletic group sister to the leontiniids, with these two clades forming a more inclusive clade that previously had been called the advanced Toxodontia. However, when five species of typotheres from three families were added to the analysis, the notohippid Eurygenium was identified as the nearest outgroup of leontiniids and an advanced notohippid plus toxodontid clade (nodes C + F). Unequivocal synapomorphies uniting these two nodes were robust calcanonavicular articulation (reverse alternating tarsus as evidenced by a distinct navicular facet on the calcaneum) and a distal radius with a styloid process. The presence of an entolophid fossettid in the lower molars and the downturned olecranon process of the ulna were equivocal synapomorphies for this clade. Though lacking the character states that diagnose a more exclusive notohippid-toxodontid-leontiniid clade, Eurygenium shared several unequivocal synapomorphies that unite it with these taxa. These include a well-formed fossette of upper molars formed by the posterior cingulum, absence of an entepicondylar foramen of the humerus, lack of a neck on the astragalus, a transversely elongated astragalar head, and absence of the astragalar buttress of the navicular. Unconventionally, the interatheriids used in the analysis (Federicoanaya and Protypotherium, both interatheriine interatheriids) formed the sister group to the taxa traditionally considered to be the advanced Toxodontia. Unequivocal synapomorphies uniting these interatheriids with the advanced Toxodontia are exclusively postcranial: tetradactyl manus, quadrate fibular facet of the calcaneum, calcaneonavicular contact (without well-formed facet on the calcaneum), and union of the groove for the tendon of the flexor hallucis longus with the astragalar trochlea. Steeply inclined ectal facets of the astragalus and calcaneum are equivocal synapomorphies (shared with Eurygenium, the notohippids, and toxodontids, but not leontiniids). Inclusion of postcranial characters in the phylogenetic analysis illustrates an otherwise undetectable conflictthat of homoplasy-homology discordance between dental and postcranial characters of interatheriine interatheriids (the postcranial skeleton of notopithicine interatheriids [or basal interatheriids of Hitz et al., 2006] remain unknown). This conflict does not simply represent an arcane point, but has relevance regarding reconstructing the interrelation-ships of several major groups of notoungulates. Other findings of this work include a northerly extension of the geographical range of Colpodon and a possible temporal extension beyond the Colhuehuapian SALMA. It appears that the fauna at Laguna del Laja is an important source of information regarding the faunal transition that occurred between Colhuehuapian and Santacrucian SALMA faunas."
23,23.0,0.5866,"global, information, case, issue, review, paper, database, focus, assessment, uncertainty",III: Medium: Collaborative Research: Citing Structured and Evolving Data Citation is an essential part of scientific and scholarly publishing: it is used to gauge the trust placed in published data and for better or worse is an important factor in judging academic reputation. Now that much scientific publishing especially data publishing takes place through a database rather than conventional journals how should something that is found in a database be cited? More generally how should digital data that is stored in a repository with internal structure and which is subject to change be cited? This is the case for the very large number of curated databases through which much scientific publishing now takes place; it is also true of most scientific data collections which are seldom stable. There has recently been substantial interest in the problem of data citation and various organizations have proposed structures for the format and content of citations; however most proposals do not address issues of structure and change that are intrinsic to databases. The focus of this proposal is to develop a framework for data citation which takes into account the following issues: (1) the potentially very large number of possible citations; (2) citations should be both human and machine readable; and (3) citations must conform to specifications prescribed by both the publishers of the data and by the various standards that are being established. All these give rise to interesting computational challenges: citations must be generated automatically from the data; the source data must be guaranteed to support the generation of these citations; and the generated citations must be guaranteed to conform to the specifications. Of course as with any computational problem all this must be done efficiently. Citation is also closely related to provenance and issues of reproducible results. Workflows executable papers and microcitations have all been proposed to support reproducible analysis of data. The work of this project will explore the connections between these ideas and where possible establish a common framework. For many databases the publishers and authors have a clear idea of how they would like their data to be cited and there is enough information in the database to enable these citations to be generated once the right computational machinery has been developed. However interesting questions arise when a set of data to be cited is arrived at by means of a query in which case the query itself may need to be included (an actionable citation). In other cases the navigational structure needed for meaningful citation such as in the case with linked open data or RDF which are ostensibly large amorphous graphs may be missing. The challenge here is to find techniques for discovering or adding that structure to provide the necessary basis for citation. 
